EXMPTN_ID,EXMPTN_NM,EFFCTV_STATUS,EFFCTV_STRT_DT,EFFCTV_END_DT
AAB_Sydney_Branch,AAB Sydney Branch,Active,20-JUL-19,31-DEC-99
ACF France NR,ACF FR (Non Recourse),Active,20-JUL-19,31-DEC-99
ACF France R,ACF FR (Recourse),Active,20-JUL-19,31-DEC-99
ACF Germany NR,ACF DE (Non Recourse),Active,20-JUL-19,31-DEC-99
ACF Germany R,ACF DE (Recourse),Active,20-JUL-19,31-DEC-99
ACF NL (BV) NR,ACF NL BV (Non Recourse),Active,20-JUL-19,31-DEC-99
ACF NL (NV) NR,ACF NL NV (Non Recourse),Active,20-JUL-19,31-DEC-99
ACF UK NR,ACF UK (Non Recourse),Active,20-JUL-19,31-DEC-99
ACQ Finance,Acquisition Finance,Active,20-JUL-19,31-DEC-99
AIRB_SL_Commodities_Finance,Specialised Lending Commodities Finance,Active,17-JAN-25,31-DEC-99
AIRB_SL_CRE,Specialised Lending Commercial Real Estate,Active,17-JAN-25,31-DEC-99
AIRB_SL_Object_Finance,Specialised Lending Object Finance,Active,17-JAN-25,31-DEC-99
AIRB_SL_Project_Finance,Specialised Lending Profect Finance,Active,17-JAN-25,31-DEC-99
AIRB_SL_RRE,Specialised Lending Residential Real Estate,Active,17-JAN-25,31-DEC-99
ALFAM_A3A,ALFAM_A3A,Active,24-NOV-23,31-DEC-99
ALFAM_C1A,ALFAM_C1A,Active,24-NOV-23,31-DEC-99
ALFAM_C3B,ALFAM_C3B,Active,24-NOV-23,31-DEC-99
ALFAM_C3C,ALFAM_C3C,Active,24-NOV-23,31-DEC-99
ALFAM_C8B,ALFAM_C8B,Active,24-NOV-23,31-DEC-99
ALFAM_DK,ALFAM_DK,Active,24-NOV-23,31-DEC-99
ALFAM_FK,ALFAM_FK,Active,24-NOV-23,31-DEC-99
ALFAM_FL,ALFAM_FL,Active,24-NOV-23,31-DEC-99
ALFAM_HK,ALFAM_HK,Active,24-NOV-23,31-DEC-99
ALFAM_ZZP,ALFAM_ZZP,Active,01-DEC-24,31-DEC-99
Article_151_8,Article_151_8,Active,17-JAN-25,31-DEC-99
Article_151_8_ECFOU,Article_151_8_EC Foundation,Active,17-JAN-25,31-DEC-99
BANK,Banks,Active,20-JUL-19,31-DEC-99
BANK (C S&P),Commercial Banks (S&P) PD,Active,20-JUL-19,31-DEC-99
BANK (HL),Regulated Investment Funds PD (Highly Leveraged),Active,20-JUL-19,31-DEC-99
BANK (I S&P),Investment Banks (S&P) PD,Active,20-JUL-19,31-DEC-99
BANK (L),Regulated Investment Funds PD (leveraged),Active,20-JUL-19,31-DEC-99
BANK (UL),Regulated Investment Funds PD (Unleveraged),Active,20-JUL-19,31-DEC-99
Beleggingspand Financiering,Beleggingspand Financiering,Active,03-FEB-22,31-DEC-99
CCP,Central Counterparties,Active,20-JUL-19,31-DEC-99
Corp SL,PPU4_Corporates Specialised Lending,Active,10-MAY-23,31-DEC-99
Count Guarantee list,Count Guarantee ,Active,28-SEP-22,31-DEC-99
EBA list,EBA list exemption,Active,24-MAY-22,31-DEC-99
Energy,Energy utilities PD,Active,20-JUL-19,31-DEC-99
Ex Credit Suisse,Ex Credit Suisse,Active,20-JUL-19,31-DEC-99
Ex_CS_Bethmann,Ex Credit Suisse Portfolio Bethmann Bank,Active,20-JUL-19,31-DEC-99
Ex_Non_Material,Non Material Entity,Active,20-JUL-19,31-DEC-99
Ex-A CCC,Ex-A Commercial Credit Cards (DVH Portfolio),Active,20-JUL-19,31-DEC-99
Ex-A Credit Cards,Ex-A Credit Cards,Active,20-JUL-19,31-DEC-99
Florius Verzilver Hypotheek,Florius Verzilver Hypotheek,Active,20-JUL-19,31-DEC-99
Franx B.V.,Franx B.V.,Active,24-MAY-22,31-DEC-99
Functions Head Office NL Regrouping,Functions Head Office NL Regrouping,Active,26-NOV-24,31-DEC-99
GOV,Multilateral Development Bank,Active,20-JUL-19,31-DEC-99
Hypotheken_Germany,Hypotheken Germany,Active,20-JUL-19,31-DEC-99
