EXMPTN_CNDTN_ID,EXMPTN_ID,SRCE_SSTM_CMPNNT_ID,PD_RTNG_MDL,RPRTNG_ENTTY_CD,BSL_II_PRDCT_TYP_CD,RPRTNG_CRTSS_ACCNT_CD,BSL_II_CNTRPRTY_TYP_CD,RTL_CRDT_EXPSR_PRTFL_CD,CSTMR_MRKT_SGMNT_ID,LGD_RTNG_MDL,LGL_ENTTY,EX_FBN_FLG,INTRCMPNY_FLG,CNTRPRTY_ID,DL_SRC_SSTM_CMPNNT_CD,EFFCTV_STATUS,EFFCTV_STRT_DT,EFFCTV_END_DT,BSL_APPRCH,EC_MDL_INPT_INDCTR,EC_PRXD_INDCTR,GLBL_CNTRPRTY_IDNTFR,MIN_TURNOVER,SOURCED_EXEMPTION_ID,PL_NPL_INDICATOR,SPECIALISED_LENDING_TYPE
100,ICO,null,null,null,null,null,null,null,null,null,null,null,Y,null,null,Active,25-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1001,Article_151_8_ECFOU,null,PBNEWW01,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1002,Article_151_8_ECFOU,null,PBNDWW01,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1003,Article_151_8_ECFOU,null,PBNKWW09,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1004,Article_151_8_ECFOU,null,PIBKWW08,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1005,Article_151_8_ECFOU,null,PFSIWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1006,Article_151_8_ECFOU,null,PFSHWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1007,Article_151_8_ECFOU,null,PFSLWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1008,Article_151_8_ECFOU,null,PFSUWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1009,Article_151_8_ECFOU,null,PFSPWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
101,CCP,null,null,null,null,null,QCCP,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1010,Article_151_8_ECFOU,null,PINLWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
