RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2944838,2944838,null,501399000,501399000,501399000,null,280889000,280889000,280889000,null
2938673,2938673,null,10439000,10439000,10439000,null,6310000,6310000,6310000,null
2876258,2876258,null,204711000,204711000,204711000,null,92103000,92103000,92103000,null
2761731,2761731,null,92663000,92663000,92663000,null,79206000,79206000,79206000,null
2871726,2871726,null,11501000,11501000,11501000,null,9748000,9748000,9748000,null
2916353,2916353,null,3727000,3727000,3727000,null,9648000,9648000,9648000,null
2882678,2882678,null,1538000,1538000,1538000,null,635000,635000,635000,null
2891436,2891436,null,323516000,323516000,323516000,null,512930000,512930000,512930000,null
2792650,2792650,null,58940000,58940000,58940000,null,163724000,163724000,163724000,null
2886833,2886833,null,6919000,6919000,6919000,null,9872000,9872000,9872000,null
2806829,2806829,null,59591000,59591000,59591000,null,52995000,52995000,52995000,null
2801219,2801219,null,4861000,4861000,4861000,null,3285000,3285000,3285000,null
2871449,2871449,null,6826000,6826000,6826000,null,4281000,4281000,4281000,null
2743470,2743470,null,6364000,6364000,6364000,null,7297000,7297000,7297000,null
2917839,2917839,null,412271000,412271000,412271000,null,99602000,99602000,99602000,null
2906917,2906917,null,668250000,668250000,668250000,null,309645000,309645000,309645000,null
2929996,2929996,null,8816000,8816000,8816000,null,5313000,5313000,5313000,null
2875746,2875746,null,13198516105.6822,13198516105.6822,13198516105.6822,null,44642598624.6833,44642598624.6833,44642598624.6833,null
2940487,2940487,null,1035000000,1035000000,1035000000,null,2517800000,2517800000,2517800000,null
2875822,2875822,null,1369000,1369000,1369000,null,13266000,13266000,13266000,null
2908652,2908652,null,4579000,4579000,4579000,null,1982000,1982000,1982000,null
2742075,2742075,null,1309000,1309000,1309000,null,864000,864000,864000,null
2868393,2868393,null,15691000,15691000,15691000,null,3925000,3925000,3925000,null
2934787,2934787,null,17006000,17006000,17006000,null,28812000,28812000,28812000,null
2842156,2842156,null,6300000,6300000,6300000,null,5120000,5120000,5120000,null
2942506,2942506,null,90662000,90662000,90662000,null,43187000,43187000,43187000,null
2744074,2744074,null,157971000,157971000,157971000,null,45874000,45874000,45874000,null
2950389,2950389,null,22418000,22418000,22418000,null,9034000,9034000,9034000,null
2869254,2869254,null,3638000000,3638000000,3638000000,null,91926000000,91926000000,91926000000,null
2886203,2886203,null,1858000,1858000,1858000,null,3533000,3533000,3533000,null
2956807,2956807,null,52150000,52150000,52150000,null,25822000,25822000,25822000,null
2889190,2889190,null,19676000,19676000,19676000,null,14330000,14330000,14330000,null
2929506,2929506,null,240855000,240855000,240855000,null,189518000,189518000,189518000,null
2865519,2865519,null,255716000,255716000,255716000,null,65260000,65260000,65260000,null
2925616,2925616,null,2643000,2643000,2643000,null,3137000,3137000,3137000,null
2921505,2921505,null,1909840000,1909840000,1909840000,null,1045746000,1045746000,1045746000,null
2884532,2884532,null,9863000,9863000,9863000,null,7318000,7318000,7318000,null
