RatingID;XPK_COUNTERPARTY;FAIR_AnnualTurnover;RDF_TotalTurnover;Turnover_Difference;Turnover_Match_Status;FAIR_TotalAssets;RDF_TotalAssets;Assets_Difference;Assets_Match_Status;Overall_Match_Status
2067237;2067237;117743000.00;99424000;18319000;MISMATCH;33419000.00;30909000;2510000;MISMATCH;MISMATCH
2472396;2472396;9853000.00;9853000;0;MATCH;3798000.00;4478000;680000;MISMATCH;MISMATCH
2592433;2592433;8554000.00;14189000;5635000;MISMATCH;4147000.00;4381000;234000;MISMATCH;MISMATCH
2690775;2690775;149870000.00;244133000;94263000;MISMATCH;193543000.00;223475000;29932000;MISMATCH;MISMATCH
2705505;2705505;2446000.00;6354000;3908000;MISMATCH;28338000.00;38924000;10586000;MISMATCH;MISMATCH
2706230;2706230;78055000.00;147822000;69767000;MISMATCH;163187000.00;163187000;0;MATCH;MISMATCH
2716985;2716985;8665000.00;20899000;12234000;MISMATCH;70173000.00;70173000;0;MATCH;MISMATCH
2717096;2717096;147164000.00;201095000;53931000;MISMATCH;45133000.00;45133000;0;MATCH;MISMATCH
2721351;2721351;82570000.00;84262000;1692000;MISMATCH;918940000.00;918940000;0;MATCH;MISMATCH
2721680;2721680;18092000.00;19266000;1174000;MISMATCH;5574000.00;5574000;0;MATCH;MISMATCH
2724510;2724510;568000.00;649000;81000;MISMATCH;1762000.00;1762000;0;MATCH;MISMATCH
2726289;2726289;0.00;727000;727000;MISMATCH;5447000.00;12227000;6780000;MISMATCH;MISMATCH
2726296;2726296;1574000.00;6372000;4798000;MISMATCH;21658000.00;21658000;0;MATCH;MISMATCH
2727749;2727749;2753000.00;2943000;190000;MISMATCH;8273000.00;8273000;0;MATCH;MISMATCH
2727801;2727801;23776000.00;22392000;1384000;MISMATCH;590076000.00;590076000;0;MATCH;MISMATCH
2727949;2727949;10260000.00;14279000;4019000;MISMATCH;2308000.00;3580000;1272000;MISMATCH;MISMATCH
2727985;2727985;177884000.00;221068000;43184000;MISMATCH;44705000.00;87054000;42349000;MISMATCH;MISMATCH
2728770;2728770;1312000000.00;1312000000;0;MATCH;2666000000.00;3188000000;522000000;MISMATCH;MISMATCH
2730756;2730756;21801000.00;20428000;1373000;MISMATCH;9206000.00;10380000;1174000;MISMATCH;MISMATCH
2731099;2731099;125783000.00;125783000;0;MATCH;79674000.00;99382000;19708000;MISMATCH;MISMATCH
2731424;2731424;5438000.00;5606000;168000;MISMATCH;6009000.00;6009000;0;MATCH;MISMATCH
2731679;2731679;759000.00;759000;0;MATCH;5125000.00;5177000;52000;MISMATCH;MISMATCH
2731685;2731685;8260000.00;10946000;2686000;MISMATCH;11605000.00;11605000;0;MATCH;MISMATCH
2731814;2731814;8792000.00;6346000;2446000;MISMATCH;94757000.00;94757000;0;MATCH;MISMATCH
2732187;2732187;230267227.24;230.267.227.237.277;0.002723008394241333;MATCH;5640879409.16;563.521.375.489.678;5.665.654.263.219.830;MISMATCH;MISMATCH
2732989;2732989;27785000.00;27785000;0;MATCH;21889000.00;30235000;8346000;MISMATCH;MISMATCH
2733439;2733439;701000.00;701000;0;MATCH;1934000.00;1843000;91000;MISMATCH;MISMATCH
2733817;2733817;6186000.00;9333000;3147000;MISMATCH;30987000.00;31056000;69000;MISMATCH;MISMATCH
2734877;2734877;17746000.00;17746000;0;MATCH;2566000.00;4856000;2290000;MISMATCH;MISMATCH
2735071;2735071;704000.00;730000;26000;MISMATCH;1239000.00;1239000;0;MATCH;MISMATCH
2735116;2735116;14596646.07;5.973.204.665.761;4.513.540.058.761;MISMATCH;237149161.52;28.460.111.491.076;47.451.953.390.759.900;MISMATCH;MISMATCH
2735232;2735232;48065000.00;48065000;0;MATCH;25063000.00;31470000;6407000;MISMATCH;MISMATCH
2735363;2735363;772000.00;1296000;524000;MISMATCH;19126000.00;21252000;2126000;MISMATCH;MISMATCH
2735550;2735550;4896000.00;3213000;1683000;MISMATCH;20014000.00;20398000;384000;MISMATCH;MISMATCH
2737186;2737186;24812886.14;340.937.836.698.365;9.280.897.529.836.490;MISMATCH;239910856.13;29.432.051.342.109;5.440.965.729.109.000;MISMATCH;MISMATCH
2737191;2737191;23868000.00;25134000;1266000;MISMATCH;34691000.00;34691000;0;MATCH;MISMATCH
2737291;2737291;10305897.78;18900000;8594102.22;MISMATCH;18805825.24;693000000;674194174.76;MISMATCH;MISMATCH
2737292;2737292;45451000.00;65259000;19808000;MISMATCH;69148000.00;69148000;0;MATCH;MISMATCH
2737643;2737643;1626000.00;3912000;2286000;MISMATCH;13711000.00;13711000;0;MATCH;MISMATCH
2737913;2737913;250000000.00;1002497000;752497000;MISMATCH;782102000.00;886748000;104646000;MISMATCH;MISMATCH
2737926;2737926;10510000.00;10510000;0;MATCH;63688000.00;176599000;112911000;MISMATCH;MISMATCH
2738182;2738182;92732000.00;92732000;0;MATCH;55889000.00;45602000;10287000;MISMATCH;MISMATCH
2738291;2738291;15760000.00;11851000;3909000;MISMATCH;5102000.00;5102000;0;MATCH;MISMATCH
2738533;2738533;51719000.00;51719000;0;MATCH;26762000.00;22868000;3894000;MISMATCH;MISMATCH
2738655;2738655;10085000.00;10618000;533000;MISMATCH;11537000.00;11537000;0;MATCH;MISMATCH
2738996;2738996;119319000.00;119319000;0;MATCH;168715000.00;177286000;8571000;MISMATCH;MISMATCH
2739145;2739145;1404000.00;4510000;3106000;MISMATCH;12408000.00;12408000;0;MATCH;MISMATCH
2739437;2739437;7760000.00;4362000;3398000;MISMATCH;5931000.00;10374000;4443000;MISMATCH;MISMATCH
2739605;2739605;27254000.00;37546000;10292000;MISMATCH;29730000.00;29730000;0;MATCH;MISMATCH
2739874;2739874;24827000.00;24827000;0;MATCH;9799000.00;11375000;1576000;MISMATCH;MISMATCH
2740434;2740434;473000.00;648000;175000;MISMATCH;4722000.00;4722000;0;MATCH;MISMATCH
2740447;2740447;9065000.00;9065000;0;MATCH;2914000.00;4244000;1330000;MISMATCH;MISMATCH
2741149;2741149;8343000.00;9396000;1053000;MISMATCH;5642000.00;6422000;780000;MISMATCH;MISMATCH
2741940;2741940;12564000.00;12564000;0;MATCH;8646000.00;8769000;123000;MISMATCH;MISMATCH
2741956;2741956;12643000.00;15329000;2686000;MISMATCH;3473000.00;3473000;0;MATCH;MISMATCH
2742075;2742075;1169000.00;1309000;140000;MISMATCH;864000.00;1120000;256000;MISMATCH;MISMATCH
2742089;2742089;976000.00;1165000;189000;MISMATCH;2372000.00;2372000;0;MATCH;MISMATCH
2742476;2742476;2126000.00;2569000;443000;MISMATCH;2398000.00;2398000;0;MATCH;MISMATCH
2742497;2742497;56874000.00;13204000;43670000;MISMATCH;725616000.00;580009000;145607000;MISMATCH;MISMATCH
2742862;2742862;25127978.82;266.735.372.651.895;15.455.584.451.894.900;MISMATCH;134919192.39;134.919.192.392.374;0.002374023199081421;MATCH;MISMATCH
2742886;2742886;34470432.48;365.906.216.330.163;21.201.891.530.163.000;MISMATCH;173458565.61;173.458.565.606.408;0.0035920143127441406;MATCH;MISMATCH
2742965;2742965;1954136000.00;399165000;1554971000;MISMATCH;13603681000.00;13603681000;0;MATCH;MISMATCH
2743186;2743186;2805151000.00;3242051000;436900000;MISMATCH;9162160000.00;8830793000;331367000;MISMATCH;MISMATCH
2743302;2743302;170073000.00;171911000;1838000;MISMATCH;4133025000.00;3529208000;603817000;MISMATCH;MISMATCH
2743405;2743405;53869000.00;53869000;0;MATCH;248056000.00;370840000;122784000;MISMATCH;MISMATCH
2743470;2743470;5354000.00;6364000;1010000;MISMATCH;7297000.00;7297000;0;MATCH;MISMATCH
2744074;2744074;129511000.00;130536000;1025000;MISMATCH;43811000.00;43811000;0;MATCH;MISMATCH
2744325;2744325;3492000000.00;-6906000000;10398000000;MISMATCH;105126000000.00;90375000000;14751000000;MISMATCH;MISMATCH
