RATING_ID,PROCESS_ID,ITERATION_NUMBER,ITERATION_TYPE,ITERATION_STAGE,APPROVED,RECOMMENDED,IN_SCOPE,PROPOSED,INVALID,INVALID_REASON,MODIFICATION_DATE,EXPIRATION_DATE,MODIFIED_BY,MODEL_ID,UNDERLYING_MODEL_ID,UNDERLYING_MODEL_VERSION_NUMBER,UNDERLYING_MODEL_CODE,RELEASE_NUMBER,RELEASE_CONTEXT,REVISION_NUMBER,END_RESULT_PD,END_RESULT_UCR,ANALYSIS_ID,ANALYSIS_VERSION,ANALYSIS_REVISION
372440,3,1,CALCULATED,null,y,y,y,null,n,null,2004-02-10T14:58:08Z,2005-05-10T14:58:08Z,nl3112607,1010,1010,001.001,SME,001.001,CRR,0,1.05,4,null,null,null
372441,7,1,CALCULATED,null,y,y,y,null,n,null,2004-02-10T15:51:17Z,2005-05-10T15:51:17Z,nl50001052,1010,1010,001.001,SME,001.001,CRR,0,1.05,4,null,null,null
372442,8,1,CALCULATED,null,y,y,y,null,n,null,2004-08-13T10:27:26Z,2005-11-13T10:27:26Z,nl50001052,1010,1010,001.001,SME,002.002,CRR,2,0.75,4+,null,null,null
372443,10,1,CALCULATED,null,y,y,y,null,n,null,2004-02-10T16:02:22Z,2005-05-10T16:02:22Z,nl3270105,1010,1010,001.001,SME,001.001,CRR,0,0.75,4+,null,null,null
372444,14,1,CALCULATED,null,y,y,y,null,n,null,2004-02-11T11:08:16Z,2005-05-11T11:08:16Z,nl833165,1010,1010,001.001,SME,001.001,CRR,2,1.05,4,null,null,null
372445,15,1,CALCULATED,null,y,y,y,null,n,null,2004-02-12T10:13:21Z,2005-05-12T10:13:21Z,nl3618268,1030,1030,001.001,PMR,001.001,CRR,0,1.05,4,null,null,null
372446,16,2,CALCULATED,null,y,y,y,null,n,null,2004-05-12T14:22:34Z,2005-08-12T14:22:34Z,nl3360,1010,1010,001.001,SME,001.005,CRR,0,0.33,3-,null,null,null
372446,16,1,CALCULATED,null,n,n,n,null,n,null,2004-02-12T14:26:19Z,2005-05-12T14:26:19Z,nl6633,1010,1010,001.001,SME,001.001,CRR,0,0.5,4+,null,null,null
372447,17,1,CALCULATED,null,y,y,y,null,n,null,2004-02-12T14:43:39Z,2005-05-12T14:43:39Z,nl4114316,1010,1010,001.001,SME,001.001,CRR,0,1.05,4,null,null,null
372448,19,2,CALCULATED,null,y,y,y,null,n,null,2004-04-02T12:28:50Z,2005-07-02T12:28:50Z,nl50000770,1010,1010,001.001,SME,001.004,CRR,0,1.05,4,null,null,null
