XPK_COUNTERPARTY,FK_DATA,OWNERSHIP,COI,UNIT,SOURCE_SYSTEM,FULL_NAME,TOTAL_ASSETS,TOTAL_ASSETS_CURRENCY,TOTAL_TURNOVER,TOTAL_TURNOVER_CURRENCY,RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
null,null,null,null,null,null,null,null,null,null,null,null,null,null,99963000,99963000,null,null,99994000,99994000,null,null
1882504,1882504,AAB,null,CIB CFB T&L Transpor,FAIR,null,2451314694.173,EUR,335705754.614549,EUR,null,null,null,null,null,null,null,null,null,null,null
2616561,2616561,AAB,null,ABN AMRO Commercial ,FAIR,null,5583000,EUR,9087000,EUR,null,null,null,null,null,null,null,null,null,null,null
2670134,2670134,AAB,null,CBC Construction,FAIR,null,40010000,EUR,3814000,EUR,null,null,null,null,null,null,null,null,null,null,null
2699348,2699348,AAB,null,ABN AMRO Commercial ,FAIR,null,24836671.4353839,EUR,38283261.8025751,EUR,null,null,null,null,null,null,null,null,null,null,null
2703245,2703245,AAB,null,ABN AMRO Commercial ,FAIR,null,59730567.4773486,EUR,142001669.051025,EUR,null,null,null,null,null,null,null,null,null,null,null
2705252,2705252,AAB,null,Bedrijven Regio Zuid,FAIR,null,3841000,EUR,2964000,EUR,null,null,null,null,null,null,null,null,null,null,null
2705505,2705505,AAB,null,CBC Transport&Logist,FAIR,null,38924000,EUR,6354000,EUR,null,null,null,null,null,null,null,null,null,null,null
2707853,2707853,AAB,null,NGM France Banque Ne,FAIR,null,6855000,EUR,5056000,EUR,null,null,null,null,null,null,null,null,null,null,null
2708240,2708240,AAB,null,ABN AMRO Commercial ,FAIR,null,3925000,EUR,15691000,EUR,null,null,null,null,null,null,null,null,null,null,null
2709368,2709368,AAB,null,Bedrijven Regio Midd,FAIR,null,7386000,EUR,15252000,EUR,null,null,null,null,null,null,null,null,null,null,null
2709413,2709413,AAB,null,Bedrijven Regio Midd,FAIR,null,4813000,EUR,475000,EUR,null,null,null,null,null,null,null,null,null,null,null
2711218,2711218,AAB,null,CIB Corporate Lendin,FAIR,null,88781799886.0258,EUR,1763152765.42528,EUR,null,null,null,null,null,null,null,null,null,null,null
2711561,2711561,AAB,null,Bedrijven Regio Zuid,FAIR,null,8088000,EUR,14818000,EUR,null,null,null,null,null,null,null,null,null,null,null
2711581,2711581,AAB,null,CIB CFB T&L Transpor,FAIR,null,439721740.759826,EUR,75566590.1531831,EUR,null,null,null,null,null,null,null,null,null,null,null
2711790,2711790,AAB,null,Bedrijven Regio Noor,FAIR,null,2234000,EUR,4134000,EUR,null,null,null,null,null,null,null,null,null,null,null
2712640,2712640,AAB,null,Bedrijven Regio Zuid,FAIR,null,11609000,EUR,15632000,EUR,null,null,null,null,null,null,null,null,null,null,null
2713069,2713069,AAB,null,Bedrijven Regio Noor,FAIR,null,868000,EUR,800000,EUR,null,null,null,null,null,null,null,null,null,null,null
2714513,2714513,AAB,null,CIB Corporate Lendin,FAIR,null,291922000,EUR,429416000,EUR,null,null,null,null,null,null,null,null,null,null,null
2715790,2715790,AAB,null,C&IB FI Europe,FAIR,null,850000000,EUR,100000000,EUR,null,null,null,null,null,null,null,null,null,null,null
2715993,2715993,AAB,null,NGM France Banque Ne,FAIR,null,89634000,EUR,32604000,EUR,null,null,null,null,null,null,null,null,null,null,null
