LB_RATING_ID,DATA_TYPE,STATEMENT_TYPE,FITCH_ID,DATE_BALANCE,CURRENT_FINANCIAL_DATA_ID,CURRENCY_ISO,BALANCE_UNIT,CONSOL_DEGREE,ACC_METHOD,TOTAL_ASSETS,TOTAL_ASSETS_PREV_YEAR,CURRENT_EQUITY,EQUITY_PREV_YEAR,ALLOC_CREDIT,PROV_CREDIT,GENERAL_ADMIN_EFFORT,NET_INTEREST_YIELD,OTHER_OPERATING_INCOME,ANNUAL_NET_PROFIT,FX_RATE_EUR_LBR,FX_RATE_EUR_LBR_DATE,FX_RATE_EUR_ANALYST,CUSTOMER_DEPOSITS,TOTAL_ASSETS_2YEARS_AGO,DEACTIVATE_LTD,COM_DEACTIVATE_LTD,NET_PROFIT_PREV,NET_PROFIT_2_AGO,CPI,BALANCE_SHEET_MODIFIED,INCOME_STATEMENT_MODIFIED
666100_100843,2,ORIGINAL_IMPORT,111954,2023-12-31T00:00:00Z,111954#10814842#C,TRY,Million,Fully consolidated,National accounting law,67.4604892308,39.94164471912,7.52584331152,4.6917230368,37.02003940056,1.57385096152,1.63009699336,2.64947422824,2.58966942168,2.66283709824,0.03063921678808478,2023-12-31T00:00:00Z,0.03064,49.10391255168,26.058572384,0,null,1.79275577584,0.41632296096,124.1,0,0
666100_100844,2,ORIGINAL_IMPORT,1047191,2023-12-31T00:00:00Z,1047191#10819464#C,EUR,Million,Fully consolidated,IFRS,198.241,207.057,19.849,18.764,99.434,2.884,5.072,5.718,3.288,2.578,1,2023-12-31T00:00:00Z,1,118.584,192.101,0,null,3.797,1.508,124.1,0,0
666100_100847,2,ORIGINAL_IMPORT,107471,2023-12-31T00:00:00Z,107471#10831669#U,BRL,Million,Not consolidated,National accounting law,374.96427841,335.318893153,26.43141444,24.178664935,81.31556578,5.30779188,7.14072395,10.31890157,4.58541089,5.29042785,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,148.97198809,286.754893984,0,null,5.116862234,3.895088007,124.1,0,0
666100_100849,2,ORIGINAL_IMPORT,107466,2023-12-31T00:00:00Z,107466#10819495#C,BRL,Million,Fully consolidated,IFRS,402.150654735,374.945159306,32.407310713,30.530408438,170.145312852,9.85119302,12.50919658,16.570269777,8.317052963,6.192349176,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,151.598026898,354.625864755,0,null,5.601524052,3.682462659,124.1,0,0
666100_100850,2,ORIGINAL_IMPORT,107444,2023-12-31T00:00:00Z,107444#10818219#C,BRL,Million,Fully consolidated,IFRS,359.887856672,334.638241848,31.183202611,29.875616468,108.198781078,9.370022679,11.212028855,10.284434904,8.830169385,2.707817788,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,116.121427837,312.846085462,0,null,4.006199128,4.365429168,124.1,0,0
666100_100851,2,ORIGINAL_IMPORT,1002281,2022-12-31T00:00:00Z,1002281#10663515#U,EUR,Million,Not consolidated,IFRS,435.829475,281.415254,23.699997,16.957578,19.746821,0.139834,3.006772,0.534992,4.281942,1.237838,1,2022-12-31T00:00:00Z,1,94.779794,244.165697,0,null,0.774043,0.139924,120.5,0,0
666100_100852,2,ORIGINAL_IMPORT,114891,2023-12-31T00:00:00Z,114891#10820235#C,BRL,Million,Fully consolidated,IFRS,26.308447234,22.735023215,2.416904937,2.339775036,12.646839192,1.388114166,0.688157047,1.345189537,0.23002672,0.207882914,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,5.014209076,22.243378443,0,null,0.189902741,0.305177495,124.1,0,0
666100_100854,2,ORIGINAL_IMPORT,1002281,2022-12-31T00:00:00Z,1002281#10663515#U,EUR,Million,Not consolidated,IFRS,435.829475,281.415254,23.699997,16.957578,19.746821,0.139834,3.006772,0.534992,4.281942,1.237838,1,2022-12-31T00:00:00Z,1,94.779794,244.165697,0,null,0.774043,0.139924,120.5,0,0
666100_100855,2,ORIGINAL_IMPORT,143673,2023-12-31T00:00:00Z,143673#10824105#C,BRL,Million,Fully consolidated,IFRS,92.443071018,84.606030794,10.528240822,9.25166721,22.854536286,1.277376465,3.373345583,-2.520248922,8.497078745,1.914673708,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,23.513921322,65.776345965,0,null,1.428462197,1.249015216,124.1,0,0
666100_100857,2,ORIGINAL_IMPORT,1172833,2023-12-31T00:00:00Z,1172833#10843907#U,BRL,Million,Not consolidated,National accounting law,0.234750483,0.253850916,0.033383748,0.033757168,null,null,0.009410184,0.013387107,0.011370639,0.009503539,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,0.055471541,0.185459043,0,null,0.009764933,0.006142759,124.1,0,0
666100_100858,2,ORIGINAL_IMPORT,100361,2023-12-31T00:00:00Z,100361#10819880#C,GBP,Million,Fully consolidated,IFRS,1366.75713452,1387.94293914,69.77442288,67.98577866,227.34809724,4.63248474,14.37258086,7.67237266,13.39003742,4.10661642,1.1532229698951142,2023-12-31T00:00:00Z,1.15322,381.48748244,1224.46362516,0,null,5.05341004,5.29097336,124.1,0,0
666100_100859,2,ORIGINAL_IMPORT,115381,2023-12-31T00:00:00Z,115381#10838273#C,BRL,Million,Fully consolidated,National accounting law,341.816587863,296.739715351,23.987623263,22.892083667,199.971133763,9.306093175,10.905861797,10.393286834,4.487108075,2.315129316,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,127.467029026,271.26573112,0,null,1.93039469,3.270897806,124.1,0,0
666100_100860,2,ORIGINAL_IMPORT,111552,2023-12-31T00:00:00Z,111552#10819460#C,BRL,Million,Fully consolidated,IFRS,58.28003282,50.045281625,5.031498422,3.41903352,28.095654025,1.322952376,1.175507489,1.863813904,0.618980992,0.622771205,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,12.913442401,47.582446028,0,null,0.411471498,0.409156294,124.1,0,0
666100_100861,2,ORIGINAL_IMPORT,112025,2023-12-31T00:00:00Z,112025#10813140#C,CLP,Million,Fully consolidated,IFRS,57.4663265,56.9130311,5.3944087,5.0040799,37.9366819,0.7920391,1.1591826,1.9473798,1.1415078,1.2809492,0.001030689836017607,2023-12-31T00:00:00Z,0.00103,29.5478469,53.3110799,0,null,1.4517232,0.8159557,124.1,0,0
666100_100863,2,ORIGINAL_IMPORT,1096670,2023-12-31T00:00:00Z,1096670#10837322#U,EUR,Million,Not consolidated,IFRS,142.644,132.534,6.964,6.515,10.6,0.159,0.979,0.264,1.011,0.242,1,2023-12-31T00:00:00Z,1,29.847,117.112,0,null,0.1,0.235,124.1,0,0
666100_100864,2,ORIGINAL_IMPORT,114897,2023-12-31T00:00:00Z,114897#10824154#C,CLP,Million,Fully consolidated,IFRS,60.05446003,58.80350752,3.45545533,3.04724779,33.73515019,1.3167829,1.25277767,2.47886495,0.77912702,0.6519694,0.001030689836017607,2023-12-31T00:00:00Z,0.00103,34.10360488,55.18963613,0,null,0.73349184,0.39009087,124.1,0,0
