RATING_ID,PROCESS_ID,ITERATION_NUMBER,CALCULATION_ID,MODEL_COMPONENT_ID,CALCULATION_PERIOD_ID,MODEL_COMPONENT_ESSENTIAL_TYPE_CODE,MODEL_COMPONENT_ESSENTIAL_GROUP_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_NAME,MODEL_COMPONENT_ESSENTIAL_VALUE,MODEL_COMPONENT_ESSENTIAL_VALUE_TYPE,MODEL_COMPONENT_ESSENTIAL_VALUE_CURRENCY
2677049,2105282,1,1111085,4837979,3357069,CorrectedTotalAssets,34,fin,cons,Consolidated,130156000,decimal,null
2593353,2024813,1,1068981,4580841,3229075,Turnover,34,fin,cons,Consolidated,8665000,decimal,null
1110048,595189,1,213603,695746,720979,TotalAssets,34,fin,cons,Consolidated,26021000,decimal,null
1033956,524119,1,158348,489978,765690,TotalOperatingIncome,28,fin,cons,Consolidated,634723320.158103,decimal,null
2666881,2095470,1,1105929,4812271,3343134,TotalAssets,28,fin,cons,Consolidated,156372549378.822,decimal,null
1056311,545434,1,174347,550794,690960,CorrectedTotalAssets,34,fin,cons,Consolidated,3004000.0,decimal,null
1139494,623168,1,230389,764286,925631,CorrectedTotalAssets,34,fin,cons,Consolidated,7517000,decimal,null
1067492,556018,1,182950,581078,692752,CorrectedTotalAssets,34,fin,cons,Consolidated,6.74315789473684E7,decimal,null
2530134,1963560,1,1037804,4419045,3147466,Turnover,34,fin,cons,Consolidated,778306039.795739,decimal,null
1073733,561819,1,187857,596568,693644,Turnover,34,fin,cons,Consolidated,64930000,decimal,null
1144908,628114,1,232733,773707,812138,CorrectedTotalAssets,34,fin,cons,Consolidated,null,decimal,null
1067446,555972,1,182913,580940,692738,TotalAssets,34,fin,cons,Consolidated,182557000,decimal,null
2658164,2087193,1,1101885,4791337,3326821,TotalAssets,34,fin,cons,Consolidated,287000,decimal,null
1197817,678670,1,257730,875961,929865,TotalAssets,34,fin,cons,Consolidated,5145000,decimal,null
2669064,2097521,1,1106976,4817260,3344170,Turnover,34,fin,cons,Consolidated,1354000,decimal,null
2608893,2039393,1,1076652,4620055,3247372,TotalOperatingIncome,28,fin,cons,Consolidated,1297480556.97853,decimal,null
2554310,1987032,1,1049558,4480262,3190248,Turnover,34,fin,cons,Consolidated,6654000,decimal,null
1080484,567961,1,193114,614615,698011,TotalAssets,34,fin,cons,Consolidated,3182263520.87114,decimal,null
1059114,548152,1,176397,559416,561494,TotalAssets,34,fin,cons,Consolidated,2763038838.4755,decimal,null
2532321,1965683,1,1038804,4424486,3152263,CorrectedTotalAssets,34,fin,cons,Consolidated,163852000,decimal,null
1165631,647748,1,242175,812455,857561,CorrectedTotalAssets,34,fin,cons,Consolidated,8083000,decimal,null
1053441,542715,1,172131,541982,541230,TotalAssets,34,fin,cons,Consolidated,12707000,decimal,null
2681621,2109624,1,1113462,4849726,3368436,CorrectedTotalAssets,34,fin,cons,Consolidated,2931000,decimal,null
2624290,2054374,1,1084682,4661973,3267624,CorrectedTotalAssets,34,fin,cons,Consolidated,14829000,decimal,null
2648692,2078027,1,1097001,4727138,3307506,TotalAssets,51,fin,cons,Consolidated,419718000,decimal,null
1070528,558793,1,185341,588317,693183,TotalAssets,34,fin,cons,Consolidated,714000,decimal,null
1207594,687878,1,262572,895333,967022,TotalAssets,34,fin,cons,Consolidated,6798000,decimal,null
1205732,686062,1,261624,891474,972277,TotalAssets,53,fin,cons,Consolidated,131007508532.423,decimal,null
2677465,2105687,1,1111329,4839056,3374023,Turnover,34,fin,cons,Consolidated,10156000,decimal,null
1133571,617431,1,227996,754517,796800,Turnover,34,fin,cons,Consolidated,94256000,decimal,null
1039074,528894,1,161969,503246,697522,CorrectedTotalAssets,34,fin,cons,Consolidated,2.219165154264969E11,decimal,null
1068138,556599,1,183480,582579,700754,Turnover,34,fin,cons,Consolidated,31127250.9003601,decimal,null
1182893,664304,1,250425,846649,908594,TotalAssets,34,fin,cons,Consolidated,5873000,decimal,null
2526984,1960553,1,1036293,4411222,3151413,CorrectedTotalAssets,34,fin,cons,Consolidated,6143000,decimal,null
2604037,2034727,1,1074295,4607633,3248715,TotalAssets,34,fin,cons,Consolidated,18652000,decimal,null
2612745,2043097,1,1078724,4630912,3266111,TotalAssets,34,fin,cons,Consolidated,5913000,decimal,null
1056828,545950,1,174743,552460,691063,TotalAssets,34,fin,cons,Consolidated,269000,decimal,null
2586086,2017760,1,1065185,4561437,3238930,CorrectedTotalAssets,34,fin,cons,Consolidated,152352441.853885,decimal,null
1092427,578701,1,201287,646801,695843,TotalAssets,34,fin,cons,Consolidated,7031000,decimal,null
1186825,668059,1,252389,854107,930438,Turnover,34,fin,cons,Consolidated,7106000,decimal,null
2595096,2026377,1,1069804,4585154,3228256,Turnover,34,fin,cons,Consolidated,0,decimal,null
1153545,636537,1,236761,790855,847112,Turnover,34,fin,cons,Consolidated,68788000000,decimal,null
2667368,2095911,1,1106210,4813436,3346314,CorrectedTotalAssets,34,fin,cons,Consolidated,32490000,decimal,null
2609473,2039936,1,1076992,4621606,3258881,TotalAssets,28,fin,cons,Consolidated,17226000000,decimal,null
2611675,2042043,1,1078106,4627569,3258388,TotalAssets,28,fin,cons,Consolidated,4731800000,decimal,null
2603904,2034600,1,1074219,4607203,3241540,TotalAssets,34,fin,cons,Consolidated,4730000,decimal,null
1191259,672353,1,254491,862930,1061364,CorrectedTotalAssets,34,fin,cons,Consolidated,6192000,decimal,null
1048383,537941,1,168627,529089,499207,Turnover,34,fin,cons,Consolidated,29175000,decimal,null
2649279,2078598,1,1097288,4728606,3304923,Turnover,34,fin,cons,Consolidated,18289000,decimal,null
1146642,629830,1,233505,777075,824071,TotalAssets,34,fin,cons,Consolidated,1201000,decimal,null
2668486,2096975,1,1106677,4815570,3367606,Turnover,34,fin,cons,Consolidated,20049000,decimal,null
2573131,2005251,1,1058771,4528006,3201951,TotalAssets,34,fin,cons,Consolidated,10679000,decimal,null
2516274,1950580,1,1031485,4387950,3134884,Turnover,34,fin,cons,Consolidated,4813000,decimal,null
2646973,2076342,1,1096135,4722361,3308189,Turnover,34,fin,cons,Consolidated,241283000,decimal,null
1140750,624352,1,230905,766415,834426,Turnover,34,fin,cons,Consolidated,202000,decimal,null
1152804,635827,1,236432,789498,831284,CorrectedTotalAssets,34,fin,cons,Consolidated,1162000,decimal,null
2584845,2016586,1,1064574,4558023,3215765,Turnover,34,fin,cons,Consolidated,6280000,decimal,null
1160184,642841,1,239689,802834,869081,CorrectedTotalAssets,34,fin,cons,Consolidated,4810000,decimal,null
2569892,2002109,1,1057154,4519656,3205367,TotalAssets,34,fin,cons,Consolidated,6031000,decimal,null
2516270,1950576,1,1031482,4387935,3131488,CorrectedTotalAssets,34,fin,cons,Consolidated,85269000,decimal,null
1051373,540700,1,170611,536737,690244,TotalAssets,34,fin,cons,Consolidated,2136000,decimal,null
2534605,1967934,1,1039837,4429882,3153163,CorrectedTotalAssets,34,fin,cons,Consolidated,12426000,decimal,null
