RATING_ID,PROCESS_ID,ITERATION_NUMBER,CALCULATION_ID,MODEL_COMPONENT_ID,CALCULATION_PERIOD_ID,MODEL_COMPONENT_ESSENTIAL_TYPE_CODE,MODEL_COMPONENT_ESSENTIAL_GROUP_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_NAME,MODEL_COMPONENT_ESSENTIAL_VALUE,MODEL_COMPONENT_ESSENTIAL_VALUE_TYPE,MODEL_COMPONENT_ESSENTIAL_VALUE_CURRENCY
2067237,1518914,2,736281,3049182,3755786,TotalAssets,34,fin,cons,Consolidated,30419000,decimal,null
2067237,1518914,2,736281,3049182,3755787,Turnover,34,fin,cons,Consolidated,117743000,decimal,null
2067237,1518914,1,702900,2876511,3747886,Turnover,34,fin,cons,Consolidated,77596000,decimal,null
2067237,1518914,1,702900,2876511,3747885,TotalAssets,34,fin,cons,Consolidated,18117000,decimal,null
2067237,1518914,2,736281,3049182,3755787,CorrectedTotalAssets,34,fin,cons,Consolidated,33419000,decimal,null
2067237,1518914,1,702900,2876511,3747886,TotalAssets,34,fin,cons,Consolidated,16584000,decimal,null
2067237,1518914,1,702900,2876511,3747886,CorrectedTotalAssets,34,fin,cons,Consolidated,18801000,decimal,null
2067237,1518914,1,702900,2876511,3747885,Turnover,34,fin,cons,Consolidated,77597000,decimal,null
2067237,1518914,1,702900,2876511,3747885,CorrectedTotalAssets,34,fin,cons,Consolidated,20077000,decimal,null
2067237,1518914,2,736281,3049182,3755786,Turnover,34,fin,cons,Consolidated,99424000,decimal,null
2067237,1518914,2,736281,3049182,3755787,TotalAssets,34,fin,cons,Consolidated,32504000,decimal,null
2067237,1518914,2,736281,3049182,3755786,CorrectedTotalAssets,34,fin,cons,Consolidated,30909000,decimal,null
