EXEMPTION_CONDITION_ID,EXEMPTION_ID,EXEMPTION_NAME,EXEMPTION_END_DATE,SOURCE_SYS_COMP_ID,PD_RTG_MODEL,REPORTING_ENTITY_ID,B2_PD_TYPE_ID,RPRT_CAR_ACCCODE_ID,B2_CPTY_TYPE_ID,CR_PD_PROGRAM,CUSTOMER_MARKET_SEGMENT_ID,LGD_RTG_MODEL,LEGAL_ENTITY,EX_FBN_FLAG,INTERCOMPANY_FLAG,CTPTY_UID,CTPTY_SSC,BASEL_APPROACH,EC_MODEL_INPUT_INDICATOR,EC_PROXIED_INDICATOR,TIME_STAMP,MIN_TURNOVER,SOURCED_EXEMPTION_ID,PL_NPL_INDICATOR,SPECIALISED_LENDING_TYPE
400,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B1A,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
401,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B1B,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
402,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B1C,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
403,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B2A,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
404,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B2B,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
405,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B2C,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
406,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B2D,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
407,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,B2E,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
408,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C1A,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
409,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C1B,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
410,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C1C,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
411,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C5A,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
412,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C5B,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
413,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C5C,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
414,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C6A,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
415,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C6B,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
416,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C6C,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
417,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C6D,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
418,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C6E,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
419,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C6F,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
420,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C6H,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
421,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7A,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
422,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7B,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
423,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7C,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
424,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7D,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
425,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7E,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
426,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7F,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
427,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7G,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
428,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7H,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
429,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7I,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
430,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C7J,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
431,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C8A,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
432,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C8B,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
433,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C8C,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
434,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C8D,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
435,PL_MCB,MC&B,9999-12-31,*,*,*,*,*,*,C8E,*,*,*,*,*,*,*  ,STD,N,Y,32:40.0,*,*,*,*
