LB_RATING_ID,DATA_TYPE,STATEMENT_TYPE,FITCH_ID,DATE_BALANCE,CURRENT_FINANCIAL_DATA_ID,CURRENCY_ISO,BALANCE_UNIT,CONSOL_DEGREE,ACC_METHOD,TOTAL_ASSETS,TOTAL_ASSETS_PREV_YEAR,CURRENT_EQUITY,EQUITY_PREV_YEAR,ALLOC_CREDIT,PROV_CREDIT,GENERAL_ADMIN_EFFORT,NET_INTEREST_YIELD,OTHER_OPERATING_INCOME,ANNUAL_NET_PROFIT,FX_RATE_EUR_LBR,FX_RATE_EUR_LBR_DATE,FX_RATE_EUR_ANALYST,CUSTOMER_DEPOSITS,TOTAL_ASSETS_2YEARS_AGO,DEACTIVATE_LTD,COM_DEACTIVATE_LTD,NET_PROFIT_PREV,NET_PROFIT_2_AGO,CPI,BALANCE_SHEET_MODIFIED,INCOME_STATEMENT_MODIFIED,PD_RATING_ID,COMPANY_ID,RATING_STATUS,RATING_PROVIDING_SYSTEM,PD_MODEL_VERSION,STAND_ALONE_RATING_PD,STAND_ALONE_RATING_UCR,COUNTRY_RISK_ADJUSTED_PD,COUNTRY_RISK_ADJUSTED_UCR,GROUP_SUPPORT_ADJUSTED_PD,GROUP_SUPPORT_ADJUSTED_UCR,L1_OVERRIDE_PD,L1_OVERRIDE_UCR,PROPOSED_PD,PROPOSED_UCR,L2_OVERRIDE_PD,L2_OVERRIDE_UCR,APPROVED_PD,APPROVED_UCR,PD_APPROVAL_DATE,PD_EXPIRY_DATE,FAIR_ID,LBCDB_ID,GBCDB_ID,HREKNR,RAPID_ID,T24_ID,DUNS,GRACE_ID,CS_ID,COUNTRY,PORTFOLIO,BUSINESSLINE,RATING_ID,PARENT_COMPANY_ID,PARENT_REVIEW_RATING_ALERT,SOVEREIGN_RATING_REVIEW_ALERT,FINANCIAL_FIG_OUTDATED_ALERT,PD_INCLUDING_CONSERVATISM,UCR_INCLUDING_CONSERVATISM,TYPE_OF_CONSERVATISM,MARGIN_OF_CONSERVATISM,PD_FLOORED,PROPOSER,APPROVER,LB_RATING_ID,LastPerformingModel
666100_101664,2,ORIGINAL_IMPORT,111956,2024-12-31T00:00:00Z,111956#11008796#C,DKK,Million,Fully consolidated,IFRS,25.96907621,24.82019309,2.11647656,2.11164932,11.06698406,0.27045953,0.44504471,0.59173917,0.42399258,0.37035658,0.13409013807261516,2024-12-31T00:00:00Z,0.13409,15.44287712,24.04475062,0,null,0.44812878,0.25490509,127.1,0,0,2942282,134546040,ACTUAL,LBR,PBNDWW01,0.05,2,0.05,2,0.05,2,0.05,2,0.05,2,null,null,0.05,2,2025-03-28 11:12:48,2026-03-28 11:12:48,540134546040,134546040,null,null,null,null,null,null,null,DK,null,null,2942282,null,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101664,PBNDWW01
666100_101031,2,ORIGINAL_IMPORT,114925,2023-12-31T00:00:00Z,114925#10822821#U,GBP,Million,Not consolidated,IFRS,64.08789506,62.5852494,1.86590996,1.845152,21.14198226,0.08303184,0.6631015,0.87760042,0.22833756,0.33904668,1.1532229698951142,2023-12-31T00:00:00Z,1.15322,43.30225778,54.1033163,0,null,0.28484534,0.20873282,124.1,0,0,2853798,205523579,ACTUAL,LBR,PBNDWW01,0.04,2+,null,null,null,null,0.04,2+,0.1,2-,null,null,0.1,2-,2024-06-26 16:31:09,2025-06-26 16:31:09,540205523579,205523579,null,null,null,null,null,null,null,GB,null,null,2853798,205352545,YES,NO,NO,0.1334,2-,NO_CONSERVATISM,1.3335,N,null,null,666100_101031,PBNDWW01
666100_101342,2,ORIGINAL_IMPORT,102931,2023-12-31T00:00:00Z,102931#10815567#C,DKK,Million,Fully consolidated,IFRS,505.87710115,508.5030874,23.57538685,21.5012937,224.0495493,2.2757206,3.8780082,4.32888635,3.2381127,2.8522973,0.1341475193440723,2023-12-31T00:00:00Z,0.13415,148.75853255,527.9921311,0,null,-0.614407,1.733218,124.1,0,0,2893125,207024413,ACTUAL,LBR,PBNDWW01,0.03,1,0.03,1,0.03,1,0.03,1,0.05,2,null,null,0.05,2,2024-10-30 16:09:42,2025-10-30 16:09:42,540207024413,207024413,null,null,null,null,null,null,null,SE,null,null,2893125,null,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101342,PBNDWW01
666100_101369,2,ORIGINAL_IMPORT,108273,2024-03-31T00:00:00Z,108273#10910111#C,JPY,Million,Fully consolidated,National accounting law,1500.368184,1367.683524,51.518772,47.75742,569.847888,4.763196,7.334208,5.319504,7.749144,3.478608,0.00612332374012614,2024-03-31T00:00:00Z,0.00612,962.982,1275.811308,0,null,3.159144,1.995732,125.3,0,0,2901371,193498715,ACTUAL,LBR,PBNDWW01,0.03,1,0.04,2+,0.03,1,0.03,1,0.05,2,null,null,0.05,2,2024-11-22 09:18:37,2025-11-22 09:18:37,540193498715,193498715,null,null,null,null,null,null,null,JP,null,null,2901371,2054012246,YES,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101369,PBNDWW01
666100_101629,2,ORIGINAL_IMPORT,111645,2023-12-31T00:00:00Z,111645#10854636#C,EUR,Million,Fully consolidated,IFRS,18.7664,17.9648,1.1578,1.043,11.772,0.3075,0.2234,0.2796,0.1049,0.1007,1,2023-12-31T00:00:00Z,1,11.3913,17.226,0,null,0.0579,0.0487,124.1,0,0,2937292,194480038,ACTUAL,LBR,PBNDWW01,0.04,2+,null,null,0.04,2+,0.04,2+,0.04,2+,null,null,0.04,2+,2025-03-13 15:56:43,2026-03-13 15:56:43,540194480038,194480038,null,null,null,null,null,null,null,FR,null,null,2937292,135326532,NO,NO,NO,0.0667,2+,NO_CONSERVATISM,1.3335,Y,null,null,666100_101629,PBNDWW01
666100_101159,2,ORIGINAL_IMPORT,115329,2023-12-31T00:00:00Z,115329#10849420#C,MAD,Million,Fully consolidated,IFRS,6.893703171,6.486083349,0.661646559,0.667201761,5.253286855,0.67808299,0.200803135,0.222611428,0.092889211,0.01567557,0.09167482572615629,2023-12-31T00:00:00Z,0.09167,4.351070715,6.197882036,0,null,0.016949783,0.015290556,124.1,0,0,2881663,193953552,ACTUAL,LBR,PBNEWW01,1,4,null,null,1,4,1,4,1,4,null,null,1,4,2024-09-26 11:58:56,2025-09-26 11:58:56,540193953552,193953552,null,null,null,null,null,null,null,MA,null,null,2881663,159728592,NO,NO,NO,1.2979,4,NO_CONSERVATISM,1.2979,N,null,null,666100_101159,PBNEWW01
666100_101277,2,ORIGINAL_IMPORT,1134570,2023-12-31T00:00:00Z,1134570#10849053#C,EUR,Million,Fully consolidated,IFRS,191.6251,189.1334,9.7128,8.7264,86.8056,1.1684,1.8069,0.6864,1.7384,0.4187,1,2023-12-31T00:00:00Z,1,85.4846,179.2814,0,null,0.5514,0.5735,124.1,0,0,2883596,204982774,ACTUAL,LBR,PBNDWW01,0.03,1,null,null,0.03,1,0.03,1,0.03,1,null,null,0.03,1,2024-10-02 15:54:36,2025-10-02 15:54:36,540204982774,204982774,null,null,null,null,null,null,null,FR,null,null,2883596,null,NO,NO,NO,0.04,1,NO_CONSERVATISM,1.3335,N,null,null,666100_101277,PBNDWW01
666100_101469,2,ORIGINAL_IMPORT,108579,2023-12-31T00:00:00Z,108579#10820973#C,TWD,Million,Fully consolidated,IFRS,78.65220075,71.66439405,5.62043955,5.0172945,46.8871623,0.62914905,0.7906989,0.81939195,0.55444665,0.4389357,0.029553477978890838,2023-12-31T00:00:00Z,0.02955,62.8760763,63.74339835,0,null,0.36910905,0.38819835,124.1,0,0,2914371,200958747,ACTUAL,LBR,PBNDWW01,0.05,2,0.1,2-,0.1,2-,0.1,2-,0.1,2-,null,null,0.1,2-,2024-12-24 09:27:55,2025-12-24 09:27:55,540200958747,200958747,null,null,null,null,null,null,null,TW,null,null,2914371,null,NO,NO,NO,0.1334,2-,NO_CONSERVATISM,1.3335,N,null,null,666100_101469,PBNDWW01
666100_101501,2,ORIGINAL_IMPORT,null,2023-12-31T00:00:00Z,null,CHF,Million,Not consolidated,National accounting law,14.01005606,17.53921642,1.12614452,1.1196848,4.08146642,0.00753634,0.80315852,0.18733188,0.79346894,0.12811778,1.076623278748533,2023-12-31T00:00:00Z,1.07662,7.30056022,21.09206242,0,null,0.14211384,0.16902934,124.1,0,0,2914384,194517276,ACTUAL,LBR,PBNDWW01,0.04,2+,null,null,0.04,2+,0.04,2+,0.05,2,null,null,0.05,2,2024-12-24 11:18:42,2025-12-24 11:18:42,540194517276,194517276,null,null,null,null,null,null,null,CH,null,null,2914384,2034346904,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101501,PBNDWW01
666100_101830,2,ORIGINAL_IMPORT,107486,2024-12-31T00:00:00Z,107486#10993143#C,SAR,Million,Fully consolidated,IFRS,38.160166247,33.199983516,4.408279659,4.206800185,24.835766375,0.64810683,0.531555234,0.724500917,0.248376884,0.31546837,0.25627489069875914,2024-12-31T00:00:00Z,0.25627,27.724954355,29.688571976,0,null,0.2613954,0.284229057,127.1,0,0,2959710,206108931,ACTUAL,LBR,PBNEWW01,0.1,2-,0.1,2-,0.1,2-,0.1,2-,0.1,2-,null,null,0.1,2-,2025-05-26 17:42:31,2026-05-26 17:42:31,540206108931,206108931,null,null,null,null,null,null,null,SA,null,null,2959710,null,NO,NO,NO,0.1298,2-,NO_CONSERVATISM,1.2979,N,null,null,666100_101830,PBNEWW01
