RatingID,XPK_COUNTERPARTY,FAIR_AnnualTurnover,RDF_TotalTurnover,Turnover_Match_Status,FAIR_TotalAssets,RDF_TotalAssets,Assets_Match_Status,Overall_Match_Status,RDF_Source_System
2889703,2889703,15892000000,15892000000,MATCH,6190000000,6190000000,MATCH,FULL_MATCH,FAIR
2902848,2902848,15892000000,15892000000,MATCH,6190000000,6190000000,MATCH,FULL_MATCH,FAIR
2951849,2951849,42037000,42037000,MATCH,18901000,18901000,MATCH,FULL_MATCH,FAIR
2788293,2788293,null,null,BOTH_NULL,37463812245.2804,37463812245.2804,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2852838,2852838,null,null,BOTH_NULL,6775244299.67427,6775244299.67427,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2854995,2854995,null,null,BOTH_NULL,4002829352.15346,4002829352.15346,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2855040,2855040,null,null,BOTH_NULL,2802854759.47725,2802854759.47725,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2865269,2865269,null,null,BOTH_NULL,4076185305.827,4076185305.827,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2865683,2865683,null,null,BOTH_NULL,9852308773.07275,9852308773.07275,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2886271,2886271,null,null,BOTH_NULL,577904451682.953,577904451682.953,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2886667,2886667,null,null,BOTH_NULL,28745023525.1538,28745023525.1538,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2895405,2895405,null,null,BOTH_NULL,107607161924.182,107607161924.182,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2901849,2901849,null,null,BOTH_NULL,643699782844.734,643699782844.734,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2902382,2902382,null,null,BOTH_NULL,25625636680.1026,25625636680.1026,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2905548,2905548,null,null,BOTH_NULL,2688932319.94209,2688932319.94209,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2905605,2905605,null,null,BOTH_NULL,2261672095.54832,2261672095.54832,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2927837,2927837,null,null,BOTH_NULL,12868000000,12868000000,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2943739,2943739,null,null,BOTH_NULL,24700665038.0022,24700665038.0022,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2953216,2953216,null,null,BOTH_NULL,26755329364.3173,26755329364.3173,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2953275,2953275,null,null,BOTH_NULL,11192531207.9892,11192531207.9892,MATCH,FULL_MATCH_WITH_NULLS,FAIR
2067237,2067237,null,99424000,FAIR_NULL,30419000,30909000,MISMATCH,MISMATCH,FAIR
2472396,2472396,null,9853000,FAIR_NULL,4478000,4478000,MATCH,MISMATCH,FAIR
2546388,2546388,6662968000,6662968000,MATCH,null,9553481000,FAIR_NULL,MISMATCH,FAIR
2592433,2592433,null,14189000,FAIR_NULL,4381000,4381000,MATCH,MISMATCH,FAIR
2676381,2676381,376783000,376783000,MATCH,null,1006836000,FAIR_NULL,MISMATCH,FAIR
2690775,2690775,null,244133000,FAIR_NULL,223475000,223475000,MATCH,MISMATCH,FAIR
2705505,2705505,null,6354000,FAIR_NULL,38924000,38924000,MATCH,MISMATCH,FAIR
2706230,2706230,147822000,147822000,MATCH,null,163187000,FAIR_NULL,MISMATCH,FAIR
2716985,2716985,null,20899000,FAIR_NULL,70173000,70173000,MATCH,MISMATCH,FAIR
2717096,2717096,null,201095000,FAIR_NULL,44229000,45133000,MISMATCH,MISMATCH,FAIR
2718327,2718327,2295000,2295000,MATCH,null,1994000,FAIR_NULL,MISMATCH,FAIR
2719306,2719306,548603000,548603000,MATCH,null,136569000,FAIR_NULL,MISMATCH,FAIR
2719547,2719547,69633000,69633000,MATCH,null,191549000,FAIR_NULL,MISMATCH,FAIR
2719909,2719909,null,5297000,FAIR_NULL,24100000,24100000,MATCH,MISMATCH,FAIR
2720058,2720058,6367000,6367000,MATCH,null,8339000,FAIR_NULL,MISMATCH,FAIR
2721125,2721125,null,390156000,FAIR_NULL,204890000,206252000,MISMATCH,MISMATCH,FAIR
2721351,2721351,null,84262000,FAIR_NULL,918940000,918940000,MATCH,MISMATCH,FAIR
2721680,2721680,null,19266000,FAIR_NULL,5574000,5574000,MATCH,MISMATCH,FAIR
2722759,2722759,7396000,7396000,MATCH,null,10275000,FAIR_NULL,MISMATCH,FAIR
2723643,2723643,627561131.842934,627561131.842934,MATCH,null,8567177892.66769,FAIR_NULL,MISMATCH,FAIR
2724510,2724510,null,649000,FAIR_NULL,1756000,1762000,MISMATCH,MISMATCH,FAIR
2725409,2725409,1769000,1769000,MATCH,null,1541000,FAIR_NULL,MISMATCH,FAIR
2726289,2726289,727000,727000,MATCH,null,12227000,FAIR_NULL,MISMATCH,FAIR
2726296,2726296,6372000,6372000,MATCH,null,21658000,FAIR_NULL,MISMATCH,FAIR
2726367,2726367,null,440399000,FAIR_NULL,93389000,96178000,MISMATCH,MISMATCH,FAIR
2726827,2726827,278954000,278954000,MATCH,null,305555000,FAIR_NULL,MISMATCH,FAIR
2727037,2727037,null,160189000,FAIR_NULL,2758960000,2758960000,MATCH,MISMATCH,FAIR
2727450,2727450,4984449337.14339,4984449337.14339,MATCH,null,1854281632.0794525,FAIR_NULL,MISMATCH,FAIR
2727749,2727749,null,2943000,FAIR_NULL,8273000,8273000,MATCH,MISMATCH,FAIR
2727756,2727756,null,379919000,FAIR_NULL,342511000,342511000,MATCH,MISMATCH,FAIR
2727801,2727801,null,22392000,FAIR_NULL,590076000,590076000,MATCH,MISMATCH,FAIR
2727802,2727802,1907625427.46053,1907625427.46053,MATCH,null,1402189534.82925,FAIR_NULL,MISMATCH,FAIR
2727949,2727949,14279000,14279000,MATCH,null,3580000,FAIR_NULL,MISMATCH,FAIR
2727985,2727985,null,221068000,FAIR_NULL,87054000,87054000,MATCH,MISMATCH,FAIR
2728061,2728061,null,3252739000,FAIR_NULL,942017000,1127977000,MISMATCH,MISMATCH,FAIR
2728770,2728770,null,1312000000,FAIR_NULL,3188000000,3188000000,MATCH,MISMATCH,FAIR
2729847,2729847,2459703939.66365,2459703939.66365,MATCH,null,2446297840.44596,FAIR_NULL,MISMATCH,FAIR
2730756,2730756,null,20428000,FAIR_NULL,10380000,10380000,MATCH,MISMATCH,FAIR
2731099,2731099,125783000,125783000,MATCH,null,99382000,FAIR_NULL,MISMATCH,FAIR
2731424,2731424,5606000,5606000,MATCH,null,6009000,FAIR_NULL,MISMATCH,FAIR
2731679,2731679,null,759000,FAIR_NULL,5177000,5177000,MATCH,MISMATCH,FAIR
2731685,2731685,10946000,10946000,MATCH,null,11605000,FAIR_NULL,MISMATCH,FAIR
