RatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsLBR,TurnoverSource,AssetsSource
362211.0,null,null,null,null,null,null,None,None
2802952.0,null,null,null,null,null,null,None,None
2096345.0,null,null,null,null,null,null,None,None
2936371.0,null,null,null,null,null,null,None,None
2839282.0,null,null,null,null,null,null,None,None
1888472.0,null,null,null,null,null,null,None,None
2918819.0,null,null,null,null,null,null,None,None
2917210.0,null,null,null,null,null,null,None,None
341691.0,null,null,null,null,null,null,None,None
1103276.0,null,null,null,null,null,null,None,None
1776770.0,null,null,null,null,null,null,None,None
2744074.0,129511000,129511000,null,43811000,43811000,null,Direct,Direct
2780940.0,null,null,null,null,null,null,None,None
352348.0,null,null,null,null,null,null,None,None
2939535.0,21046000,21046000,null,14020000,14020000,null,Direct,Direct
2907914.0,null,null,null,null,null,null,None,None
2907733.0,null,null,null,null,null,null,None,None
1077350.0,null,null,null,null,null,null,None,None
2742658.0,null,null,null,null,null,null,None,None
2915986.0,10647000,10647000,null,3157000,3157000,null,Direct,Direct
356088.0,null,null,null,null,null,null,None,None
2797989.0,null,null,null,null,null,null,None,None
2912732.0,null,null,null,null,null,null,None,None
2930381.0,null,null,null,null,null,null,None,None
2796795.0,null,null,null,null,null,null,None,None
2861332.0,null,null,null,33114000,33114000,null,None,Direct
2867114.0,18782000,18782000,null,2409000,2409000,null,Direct,Direct
2039991.0,null,null,null,null,null,null,None,None
2917216.0,null,null,null,null,null,null,None,None
2875577.0,null,null,null,null,null,null,None,None
2870234.0,29583861971.7447,29583861971.7447,null,102160489024.729,102160489024.729,null,Direct,Direct
2868022.0,null,null,null,null,null,null,None,None
2914624.0,null,null,null,null,null,null,None,None
1263356.0,null,null,null,null,null,null,None,None
2925276.0,9242000,9242000,null,6204000,6204000,null,Direct,Direct
2808731.0,null,null,null,null,null,null,None,None
2890001.0,null,null,null,null,null,null,None,None
2931248.0,null,null,null,null,null,null,None,None
2853692.0,null,null,null,null,null,null,None,None
2907447.0,null,null,null,null,null,null,None,None
899483.0,null,null,null,null,null,null,None,None
352312.0,null,null,null,null,null,null,None,None
2907997.0,null,null,null,null,null,null,None,None
2861456.0,null,null,null,null,null,null,None,None
2953504.0,null,null,null,null,null,null,None,None
2745844.0,null,null,null,null,null,null,None,None
355995.0,null,null,null,null,null,null,None,None
2939605.0,10918000,10918000,null,6126000,6126000,null,Direct,Direct
2924909.0,648000,648000,null,4722000,4722000,null,Direct,Direct
2941474.0,35923000,35923000,null,17083000,17083000,null,Direct,Direct
2887321.0,5840000,5840000,null,4249000,4249000,null,Direct,Direct
937605.0,null,null,null,null,null,null,None,None
773735.0,null,null,null,null,null,null,None,None
2907969.0,null,null,null,null,null,null,None,None
2932464.0,null,null,null,null,null,null,None,None
2860023.0,null,null,null,null,null,null,None,None
2934198.0,6289000,6289000,null,17468000,17468000,null,Direct,Direct
2937137.0,null,null,null,null,null,null,None,None
2959239.0,null,null,null,null,null,null,None,None
2909617.0,null,null,null,null,null,null,None,None
2895228.0,null,null,null,null,null,null,None,None
2807802.0,null,null,null,null,null,null,None,None
2960159.0,null,null,null,null,null,null,None,None
2782546.0,null,null,null,null,null,null,None,None
2744465.0,null,null,null,null,null,null,None,None
2847382.0,1112305000,1112305000,null,463010000,463010000,null,Direct,Direct
2932425.0,null,null,null,null,null,null,None,None
342630.0,null,null,null,null,null,null,None,None
2947855.0,null,null,null,null,null,null,None,None
2880900.0,null,null,null,null,null,null,None,None
2856387.0,null,null,null,null,null,null,None,None
2853190.0,null,null,null,null,null,null,None,None
2899957.0,1812000,1812000,null,1799000,1799000,null,Direct,Direct
2917768.0,null,null,null,null,null,null,None,None
2890228.0,null,null,null,null,null,null,None,None
2936686.0,null,null,null,null,null,null,None,None
2903734.0,14891000,14891000,null,12222000,12222000,null,Direct,Direct
2450370.0,null,null,null,null,null,null,None,None
2864886.0,null,null,null,null,null,null,None,None
2958599.0,19773000,19773000,null,14773000,14773000,null,Direct,Direct
2836987.0,null,null,null,null,null,null,None,None
2818118.0,null,null,null,null,null,null,None,None
2939019.0,null,null,null,null,null,null,None,None
370604.0,null,null,null,null,null,null,None,None
2889685.0,null,null,null,null,null,null,None,None
2918759.0,null,null,null,null,null,null,None,None
1399464.0,null,null,null,null,null,null,None,None
2889164.0,9042000,9042000,null,11901000,11901000,null,Direct,Direct
1284793.0,null,null,null,null,null,null,None,None
2726674.0,null,null,null,null,null,null,None,None
2903606.0,1048241000,1048241000,null,574325000,574325000,null,Direct,Direct
759540.0,null,null,null,null,null,null,None,None
2884166.0,null,null,null,null,null,null,None,None
2774295.0,null,null,null,null,null,null,None,None
2923852.0,null,null,null,null,null,null,None,None
781006.0,null,null,null,null,null,null,None,None
2917018.0,null,null,null,null,null,null,None,None
2874462.0,8092000,8092000,null,3871000,3871000,null,Direct,Direct
1776923.0,null,null,null,null,null,null,None,None
1927853.0,null,null,null,null,null,null,None,None
2938288.0,null,null,null,null,null,null,None,None
2844606.0,null,null,null,null,null,null,None,None
2877478.0,null,null,null,null,null,null,None,None
2856001.0,13564000,13564000,null,16163000,16163000,null,Direct,Direct
2844928.0,null,null,null,null,null,null,None,None
2803716.0,null,null,null,null,null,null,None,None
2906703.0,null,null,null,null,null,null,None,None
2899101.0,null,null,null,null,null,null,None,None
2907995.0,null,null,null,null,null,null,None,None
2827631.0,null,null,null,null,null,null,None,None
2946403.0,5147000,5147000,null,4090000,4090000,null,Direct,Direct
2860525.0,null,null,null,null,null,null,None,None
2833055.0,null,null,null,null,null,null,None,None
2937893.0,null,null,null,null,null,null,None,None
2913756.0,null,null,null,null,null,null,None,None
2891794.0,null,null,null,null,null,null,None,None
2844471.0,null,null,null,null,null,null,None,None
1020380.0,null,null,null,null,null,null,None,None
2956885.0,null,null,null,null,null,null,None,None
2929495.0,8665000,8665000,null,42172000,42172000,null,Direct,Direct
2955419.0,null,null,null,null,null,null,None,None
2861372.0,null,null,null,null,null,null,None,None
2948309.0,473501000,473501000,null,368803000,368803000,null,Direct,Direct
2769527.0,null,null,null,null,null,null,None,None
971698.0,null,null,null,null,null,null,None,None
2897565.0,null,null,null,null,null,null,None,None
2950283.0,null,null,null,null,null,null,None,None
2930648.0,null,null,null,null,null,null,None,None
2876335.0,null,null,null,null,null,null,None,None
666729.0,null,null,null,null,null,null,None,None
2437158.0,null,null,null,null,null,null,None,None
2198467.0,null,null,null,null,null,null,None,None
2942197.0,null,null,null,null,null,null,None,None
2868056.0,null,null,null,null,null,null,None,None
575637.0,null,null,null,null,null,null,None,None
2815482.0,null,null,null,null,null,null,None,None
2876368.0,null,null,null,null,null,null,None,None
2956705.0,null,null,null,null,null,null,None,None
2891200.0,null,null,null,null,null,null,None,None
2887608.0,null,null,null,null,null,null,None,None
1394736.0,null,null,null,null,null,null,None,None
2907830.0,null,null,null,null,null,null,None,None
2916215.0,null,null,null,null,null,null,None,None
2886397.0,null,null,null,null,null,null,None,None
2912200.0,null,null,null,null,null,null,None,None
2939874.0,null,null,null,null,null,null,None,None
2778839.0,null,null,null,null,null,null,None,None
1378571.0,null,null,null,null,null,null,None,None
2926869.0,334639000,334639000,null,21625000,21625000,null,Direct,Direct
1777127.0,null,null,null,null,null,null,None,None
2943058.0,null,null,null,null,null,null,None,None
2162356.0,null,null,null,null,null,null,None,None
2879476.0,null,null,null,null,null,null,None,None
2869167.0,null,null,null,null,null,null,None,None
315787.0,null,null,null,null,null,null,None,None
2952018.0,null,null,null,null,null,null,None,None
2873836.0,null,null,null,null,null,null,None,None
2928989.0,null,null,null,null,null,null,None,None
2960444.0,null,null,null,null,null,null,None,None
349020.0,null,null,null,null,null,null,None,None
2951446.0,null,null,null,null,null,null,None,None
1169172.0,null,null,null,null,null,null,None,None
2894196.0,null,null,null,null,null,null,None,None
2826370.0,null,null,null,null,null,null,None,None
2899792.0,null,null,null,null,null,null,None,None
2876608.0,null,null,null,null,null,null,None,None
2934777.0,251606000,251606000,null,142630000,142630000,null,Direct,Direct
2785908.0,9734000,9734000,null,4252000,4252000,null,Direct,Direct
2918710.0,null,null,null,null,null,null,None,None
2902631.0,null,null,null,null,null,null,None,None
2788678.0,null,null,null,null,null,null,None,None
2940796.0,null,null,null,null,null,null,None,None
2914822.0,null,null,null,null,null,null,None,None
2947306.0,null,null,null,null,null,null,None,None
2925659.0,null,null,null,null,null,null,None,None
