DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
IHUB-FR1,2025-05-31,810219,1N000134933,AAB.SYS.2180,10001349,AAB.SYS.2180,134,NPL,null,null,PICOWW01,PICOWW01,Y,LNOMO401,FIRB,1169,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,IHUB-FR1,2025-05-31,810219,1N000134933,AAB.SYS.2180,10001349,AAB.SYS.2180,134,NPL,null,null,PICOWW01,PICOWW01,Y,LNOMO401,SA,100,ICO,Intercompany,P
IHUB-FR1,2025-05-31,810219,1N00710022,AAB.SYS.2180,10071002,AAB.SYS.2180,19,NPL,null,null,PICOWW01,null,Y,LNOMO401,FIRB,1851,PICOWW01_ECFOU,PPU3_Commercial Banks PD PICO F-IRB,P,IHUB-FR1,2025-05-31,810219,1N00710022,AAB.SYS.2180,10071002,AAB.SYS.2180,19,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,P
IHUB-FR1,2025-05-31,810219,1N01009074,AAB.SYS.2180,10100907,AAB.SYS.2180,null,NPL,null,null,PICOWW01,PICOWW01,Y,LNOMO401,FIRB,1156,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,IHUB-FR1,2025-05-31,810219,1N01009074,AAB.SYS.2180,10100907,AAB.SYS.2180,null,NPL,null,null,PICOWW01,PICOWW01,Y,LNOMO401,SA,100,ICO,Intercompany,P
IHUB-FR1,2025-05-31,810219,1N01178715,AAB.SYS.2180,10117871,AAB.SYS.2180,2,NPL,IPREF-RRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1553,AIRB_SL_RRE,Specialised Lending Residential Real Estate,P,IHUB-FR1,2025-05-31,810219,1N01178715,AAB.SYS.2180,10117871,AAB.SYS.2180,2,NPL,IPREF-RRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N01354915,AAB.SYS.2180,10135491,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N01354915,AAB.SYS.2180,10135491,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N01354916,AAB.SYS.2180,10135491,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N01354916,AAB.SYS.2180,10135491,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N02015232,AAB.SYS.2180,10201523,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N02015232,AAB.SYS.2180,10201523,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N02015235,AAB.SYS.2180,10201523,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N02015235,AAB.SYS.2180,10201523,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N02041724,AAB.SYS.2180,10204172,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N02041724,AAB.SYS.2180,10204172,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N020535915,AAB.SYS.2180,10205359,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N020535915,AAB.SYS.2180,10205359,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
