RatingID,XPK_COUNTERPARTY,FAIR_AnnualTurnover,RDF_TotalTurnover,Turnover_Match_Status,FAIR_TotalAssets,RDF_TotalAssets,Assets_Match_Status,Overall_Match_Status,RDF_Source_System
1882504.0,1882504,335705754.614549,3.35705754614549E8,MATCH,2451314694.173,2.451314694173E9,MATCH,FULL_MATCH,FAIR
2067237.0,2067237,99424000,9.9424E7,MATCH,30909000,3.0909E7,MATCH,FULL_MATCH,FAIR
2472396.0,2472396,9853000,9853000.0,MATCH,4478000,4478000.0,MATCH,FULL_MATCH,FAIR
2546388.0,2546388,6662968000,6.662968E9,MATCH,9553481000,9.553481E9,MATCH,FULL_MATCH,FAIR
2592433.0,2592433,14189000,1.4189E7,MATCH,4381000,4381000.0,MATCH,FULL_MATCH,FAIR
2676381.0,2676381,376783000,3.76783E8,MATCH,1006836000,1.006836E9,MATCH,FULL_MATCH,FAIR
2690775.0,2690775,244133000,2.44133E8,MATCH,223475000,2.23475E8,MATCH,FULL_MATCH,FAIR
2706230.0,2706230,147822000,1.47822E8,MATCH,163187000,1.63187E8,MATCH,FULL_MATCH,FAIR
2708240.0,2708240,15691000,1.5691E7,MATCH,3925000,3925000.0,MATCH,FULL_MATCH,FAIR
2716985.0,2716985,20899000,2.0899E7,MATCH,70173000,7.0173E7,MATCH,FULL_MATCH,FAIR
2717096.0,2717096,201095000,2.01095E8,MATCH,45133000,4.5133E7,MATCH,FULL_MATCH,FAIR
2719547.0,2719547,69633000,6.9633E7,MATCH,191549000,1.91549E8,MATCH,FULL_MATCH,FAIR
2719909.0,2719909,5297000,5297000.0,MATCH,24100000,2.41E7,MATCH,FULL_MATCH,FAIR
2720058.0,2720058,6367000,6367000.0,MATCH,8339000,8339000.0,MATCH,FULL_MATCH,FAIR
2721351.0,2721351,84262000,8.4262E7,MATCH,918940000,9.1894E8,MATCH,FULL_MATCH,FAIR
2721680.0,2721680,19266000,1.9266E7,MATCH,5574000,5574000.0,MATCH,FULL_MATCH,FAIR
2723643.0,2723643,627561131.842934,6.27561131842934E8,MATCH,8567177892.66769,8.56717789266769E9,MATCH,FULL_MATCH,FAIR
2725310.0,2725310,91079000,9.1079E7,MATCH,50690000,5.069E7,MATCH,FULL_MATCH,FAIR
2726289.0,2726289,727000,727000.0,MATCH,12227000,1.2227E7,MATCH,FULL_MATCH,FAIR
2726296.0,2726296,6372000,6372000.0,MATCH,21658000,2.1658E7,MATCH,FULL_MATCH,FAIR
2726653.0,2726653,2077468331.52371,2.07746833152371E9,MATCH,12568019363.0112,1.25680193630112E10,MATCH,FULL_MATCH,FAIR
2726656.0,2726656,2077468331.52371,2.07746833152371E9,MATCH,12568019363.0112,1.25680193630112E10,MATCH,FULL_MATCH,FAIR
2726661.0,2726661,2077468331.52371,2.07746833152371E9,MATCH,12568019363.0112,1.25680193630112E10,MATCH,FULL_MATCH,FAIR
