DeliveryEntity,ReportingDate,CounterpartyID,CounterpartySourceSystemIdentifier,GlobalCounterpartyIdentifier,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,IntercompanyFlag,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,CounterpartyID,CounterpartySourceSystemIdentifier,GlobalCounterpartyIdentifier,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,IntercompanyFlag,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
FBS,2025-05-31,BCA100096662,AAB.SYS.1861,000143016997,null,PSOVWW06,null,null,SA,472,NPL_PPU_SOV,PPU3_Sovereign,P,FBS,2025-05-31,BCA100096662,AAB.SYS.1861,000143016997,null,PSOVWW06,null,null,SA,472.0,NPL_PPU_SOV,PPU3_Sovereign,T
FBS,2025-05-31,BCA10016058,AAB.SYS.1861,000136010938,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA10016058,AAB.SYS.1861,000136010938,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA100547052,AAB.SYS.1861,000141507462,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA100547052,AAB.SYS.1861,000141507462,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA100965830,AAB.SYS.1861,000146225279,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA100965830,AAB.SYS.1861,000146225279,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA101434049,AAB.SYS.1861,000142134147,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA101434049,AAB.SYS.1861,000142134147,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA101443005,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA101443005,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA103079122,AAB.SYS.1861,000760853657,null,PFSPWW05,PFSPWW05,null,FIRB,1334,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,BCA103079122,AAB.SYS.1861,000760853657,null,PFSPWW05,PFSPWW05,null,FIRB,1334.0,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,BCA103209662,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA103209662,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA103454985,AAB.SYS.1861,000244326045,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA103454985,AAB.SYS.1861,000244326045,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA104026677,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA104026677,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA104955201,AAB.SYS.1861,000141736119,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA104955201,AAB.SYS.1861,000141736119,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA105359882,AAB.SYS.1861,000137713649,null,AA_NONE,null,null,FIRB,1515,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA105359882,AAB.SYS.1861,000137713649,null,AA_NONE,null,null,FIRB,1515.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA106426699,AAB.SYS.1861,000137147309,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA106426699,AAB.SYS.1861,000137147309,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
