DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
MAINBANK,2025-05-31,524749,CF/134552067_AS_SBL,AAB.SYS.12036,BCA134552067,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/134552067_AS_SBL,AAB.SYS.12036,BCA134552067,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/18440,AAB.SYS.1861,BCA200156586,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/18440,AAB.SYS.1861,BCA200156586,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/193856263_AS_REPO,AAB.SYS.12036,BCA193856263,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/193856263_AS_REPO,AAB.SYS.12036,BCA193856263,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/194565246_AS_SBL,AAB.SYS.12036,BCA194565246,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/194565246_AS_SBL,AAB.SYS.12036,BCA194565246,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/196116228_AS_SBL,AAB.SYS.12036,BCA196116228,AAB.SYS.1861,104,NPL,null,null,PINNWW05,PINNWW05,null,LNOMO401,FIRB,1362,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/196116228_AS_SBL,AAB.SYS.12036,BCA196116228,AAB.SYS.1861,104,NPL,null,null,PINNWW05,PINNWW05,null,LNOMO401,FIRB,1362,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/198553064_AS_SBL,AAB.SYS.12036,BCA198553064,AAB.SYS.1861,104,NPL,null,null,PGSSWW06,PGSSWW06,null,LNOMO401,SA,470,NPL_PPU_SOV,PPU3_Sovereign,P,MAINBANK,2025-05-31,524749,CF/198553064_AS_SBL,AAB.SYS.12036,BCA198553064,AAB.SYS.1861,104,NPL,null,null,PGSSWW06,PGSSWW06,null,LNOMO401,SA,470,NPL_PPU_SOV,PPU3_Sovereign,T
MAINBANK,2025-05-31,528078,CF/2000730590_AV_REPO,AAB.SYS.12036,BCA2000730590,AAB.SYS.1861,102,NPL,null,null,PIBKWW08,PIBKWW08,null,LNOMO401,FIRB,1225,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/2000730590_AV_REPO,AAB.SYS.12036,BCA2000730590,AAB.SYS.1861,102,NPL,null,null,PIBKWW08,PIBKWW08,null,LNOMO401,FIRB,1225,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/2005886602_AS_REPO,AAB.SYS.12036,BCA2005886602,AAB.SYS.1861,102,NPL,null,null,PINLWW05,PINLWW05,null,LNOMO401,FIRB,1361,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/2005886602_AS_REPO,AAB.SYS.12036,BCA2005886602,AAB.SYS.1861,102,NPL,null,null,PINLWW05,PINLWW05,null,LNOMO401,FIRB,1361,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/2006581368_AS_SBL,AAB.SYS.12036,BCA2006581368,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/2006581368_AS_SBL,AAB.SYS.12036,BCA2006581368,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,528078,CF/2006625098_AV_REPO,AAB.SYS.12036,BCA2006625098,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1187,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/2006625098_AV_REPO,AAB.SYS.12036,BCA2006625098,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1187,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,528078,CF/2008307298_AV_REPO,AAB.SYS.12036,BCA2008307298,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/2008307298_AV_REPO,AAB.SYS.12036,BCA2008307298,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,528078,CF/2016423730_AV_REPO,AAB.SYS.12036,BCA2016423730,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1226,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/2016423730_AV_REPO,AAB.SYS.12036,BCA2016423730,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1226,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,528078,CF/205822649_AV_REPO,AAB.SYS.12036,BCA205822649,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/205822649_AV_REPO,AAB.SYS.12036,BCA205822649,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
