DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
FBS,2025-05-31,525142,F050100316360,AAB.SYS.1861,BCA70699720,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050100316360,AAB.SYS.1861,BCA70699720,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,425140,F050100393829,AAB.SYS.1861,BCA48159301,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,425140,F050100393829,AAB.SYS.1861,BCA48159301,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050100810179,AAB.SYS.1861,BCA2042879819,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050100810179,AAB.SYS.1861,BCA2042879819,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525141,F050103108513,AAB.SYS.1861,BCA2043993828,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050103108513,AAB.SYS.1861,BCA2043993828,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525141,F050103452699,AAB.SYS.1861,BCA200107887,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050103452699,AAB.SYS.1861,BCA200107887,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050105813966,AAB.SYS.1861,BCA2034242823,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050105813966,AAB.SYS.1861,BCA2034242823,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,425140,F050106132768,AAB.SYS.1861,BCA127177256,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,425140,F050106132768,AAB.SYS.1861,BCA127177256,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050106817833,AAB.SYS.1861,BCA2047140048,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050106817833,AAB.SYS.1861,BCA2047140048,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525142,F050108462323,AAB.SYS.1861,BCA2044039613,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050108462323,AAB.SYS.1861,BCA2044039613,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525142,F050113192967,AAB.SYS.1861,BCA2051936439,AAB.SYS.1861,19,PL,null,null,AA_NONE,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050113192967,AAB.SYS.1861,BCA2051936439,AAB.SYS.1861,19,PL,null,null,AA_NONE,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525142,F050114188602,AAB.SYS.1861,BCA2052345892,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050114188602,AAB.SYS.1861,BCA2052345892,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525141,F050122886070,AAB.SYS.1861,BCA28924088,AAB.SYS.1861,19,PL,null,null,PGSSWW06,PGSSWW06,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050122886070,AAB.SYS.1861,BCA28924088,AAB.SYS.1861,19,PL,null,null,PGSSWW06,PGSSWW06,null,null,SA,701,NPL_PPU_OTHER_SOV_Model,PPU3_Other Sov Exposures ,P
FBS,2025-05-31,425140,F050127363637,AAB.SYS.1861,BCA2059888336,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,425140,F050127363637,AAB.SYS.1861,BCA2059888336,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050127412158,AAB.SYS.1861,BCA75275864,AAB.SYS.1861,19,PL,null,null,AA_NONE,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050127412158,AAB.SYS.1861,BCA75275864,AAB.SYS.1861,19,PL,null,null,AA_NONE,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050127944125,AAB.SYS.1861,BCA2007126117,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050127944125,AAB.SYS.1861,BCA2007126117,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050128888563,AAB.SYS.1861,BCA2011168953,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050128888563,AAB.SYS.1861,BCA2011168953,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,425140,F050133392929,AAB.SYS.1861,BCA179840355,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,425140,F050133392929,AAB.SYS.1861,BCA179840355,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050138614407,AAB.SYS.1861,BCA188038868,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050138614407,AAB.SYS.1861,BCA188038868,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525141,F050141187174,AAB.SYS.1861,BCA86962884,AAB.SYS.1861,19,PL,null,null,AA_NONE,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050141187174,AAB.SYS.1861,BCA86962884,AAB.SYS.1861,19,PL,null,null,AA_NONE,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525141,F050240001664,AAB.SYS.1861,BCA203273001,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050240001664,AAB.SYS.1861,BCA203273001,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525141,F050240001761,AAB.SYS.1861,BCA194844080,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050240001761,AAB.SYS.1861,BCA194844080,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525141,F050240423402,AAB.SYS.1861,BCA195274180,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050240423402,AAB.SYS.1861,BCA195274180,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050242095240,AAB.SYS.1861,BCA194577910,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050242095240,AAB.SYS.1861,BCA194577910,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525141,F050243128207,AAB.SYS.1861,BCA195223497,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050243128207,AAB.SYS.1861,BCA195223497,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050243131224,AAB.SYS.1861,BCA194839834,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050243131224,AAB.SYS.1861,BCA194839834,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525141,F050243569157,AAB.SYS.1861,BCA194895645,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050243569157,AAB.SYS.1861,BCA194895645,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050245817719,AAB.SYS.1861,BCA2012305695,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050245817719,AAB.SYS.1861,BCA2012305695,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P
FBS,2025-05-31,525141,F050246158425,AAB.SYS.1861,BCA194895645,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,525141,F050246158425,AAB.SYS.1861,BCA194895645,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,525142,F050248761846,AAB.SYS.1861,BCA2017046086,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,401,PL_MCB,MC&B,P,FBS,2025-05-31,525142,F050248761846,AAB.SYS.1861,BCA2017046086,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1517,Article_151_8,Article_151_8,P
FBS,2025-05-31,425140,F050249319047,AAB.SYS.1861,BCA195514009,AAB.SYS.1861,19,PL,null,null,null,null,null,null,SA,402,PL_MCB,MC&B,P,FBS,2025-05-31,425140,F050249319047,AAB.SYS.1861,BCA195514009,AAB.SYS.1861,19,PL,null,null,null,null,null,null,FIRB,1514,Article_151_8,Article_151_8,P
