table_name,column_name,ordinal_position,data_type
bsl_andes (RC),EXEMPTION_CONDITION_ID,0,INT
bsl_andes (RC),EXEMPTION_ID,1,STRING
bsl_andes (RC),EXEMPTION_NAME,2,STRING
bsl_andes (RC),EXEMPTION_END_DATE,3,DATE
bsl_andes (RC),SOURCE_SYS_COMP_ID,4,STRING
bsl_andes (RC),PD_RTG_MODEL,5,STRING
bsl_andes (RC),REPORTING_ENTITY_ID,6,STRING
bsl_andes (RC),B2_PD_TYPE_ID,7,STRING
bsl_andes (RC),RPRT_CAR_ACCCODE_ID,8,STRING
bsl_andes (RC),B2_CPTY_TYPE_ID,9,STRING
bsl_andes (RC),CR_PD_PROGRAM,10,STRING
bsl_andes (RC),CUSTOMER_MARKET_SEGMENT_ID,11,STRING
bsl_andes (RC),LGD_RTG_MODEL,12,STRING
bsl_andes (RC),LEGAL_ENTITY,13,STRING
bsl_andes (RC),EX_FBN_FLAG,14,STRING
bsl_andes (RC),INTERCOMPANY_FLAG,15,STRING
bsl_andes (RC),CTPTY_UID,16,STRING
bsl_andes (RC),CTPTY_SSC,17,STRING
bsl_andes (RC),BASEL_APPROACH,18,STRING
bsl_andes (RC),EC_MODEL_INPUT_INDICATOR,19,STRING
bsl_andes (RC),EC_PROXIED_INDICATOR,20,STRING
bsl_andes (RC),TIME_STAMP,21,STRING
bsl_andes (RC),MIN_TURNOVER,22,STRING
bsl_andes (RC),SOURCED_EXEMPTION_ID,23,STRING
bsl_andes (RC),PL_NPL_INDICATOR,24,STRING
bsl_andes (RC),SPECIALISED_LENDING_TYPE,25,STRING
