XPK_COUNTERPARTY,FK_DATA,OWNERSHIP,COI,UNIT,SOURCE_SYSTEM,FULL_NAME,TOTAL_ASSETS,TOTAL_ASSETS_CURRENCY,TOTAL_TURNOVER,TOTAL_TURNOVER_CURRENCY
2853256,2853256,AAB,null,null,FAIR,null,6.74604892308E10,EUR,5.23914364992E9,EUR
2836723,2836723,AAB,null,null,FAIR,null,4.35829475E11,EUR,4.816934E9,EUR
2853787,2853787,AAB,null,null,FAIR,null,3.694636854E9,EUR,1.31239978E8,EUR
2836728,2836728,AAB,null,null,FAIR,null,5.0587710115E11,EUR,7.56699905E9,EUR
2836729,2836729,AAB,null,null,FAIR,null,3.06135436E11,EUR,7.271122E9,EUR
2836148,2836148,AAB,null,null,FAIR,null,1.36505870336E12,EUR,3.503142682E10,EUR
2836149,2836149,AAB,null,null,FAIR,null,1.33240064992E12,EUR,3.244223033E10,EUR
2912372,2912372,AAB,null,null,FAIR,null,5.5886E9,EUR,2.436E8,EUR
2844281,2844281,AAB,null,null,FAIR,null,5.07948E8,EUR,7096000.0,EUR
2844893,2844893,AAB,null,null,FAIR,null,5.32248E10,EUR,1.2206E9,EUR
2854421,2854421,AAB,null,null,FAIR,null,7.106E10,EUR,1.414E9,EUR
2844282,2844282,AAB,null,null,FAIR,null,9.75636E11,EUR,2.2405E10,EUR
2854422,2854422,AAB,null,null,FAIR,null,1.31491E10,EUR,2.685E8,EUR
2854423,2854423,AAB,null,null,FAIR,null,1.57907E11,EUR,3.818E9,EUR
2854424,2854424,AAB,null,null,FAIR,null,5.646992621E10,EUR,2.45795597E9,EUR
2854425,2854425,AAB,null,null,FAIR,null,2.09332E10,EUR,4.044E8,EUR
2854426,2854426,AAB,null,null,FAIR,null,6.13796E11,EUR,1.5402E10,EUR
2854427,2854427,AAB,null,null,FAIR,null,1.1554E11,EUR,5.16E8,EUR
2852570,2852570,AAB,null,null,FAIR,null,1.0602862296E11,EUR,2.10709444E9,EUR
2854428,2854428,AAB,null,null,FAIR,null,7.5909E10,EUR,2.45E8,EUR
2854430,2854430,AAB,null,null,FAIR,null,1.68359E10,EUR,6.694E8,EUR
2854431,2854431,AAB,null,null,FAIR,null,1.6175571E10,EUR,4.663E8,EUR
2854432,2854432,AAB,null,null,FAIR,null,2.619296E9,EUR,5.7663E7,EUR
2853789,2853789,AAB,null,null,FAIR,null,1.9202492608E10,EUR,7.48751614E8,EUR
2854433,2854433,AAB,null,null,FAIR,null,1.02824E10,EUR,2.512E8,EUR
2853792,2853792,AAB,null,null,FAIR,null,7.660919E9,EUR,2.3226E8,EUR
2854435,2854435,AAB,null,null,FAIR,null,4.5855121832E10,EUR,2.196917296E9,EUR
2854437,2854437,AAB,null,null,FAIR,null,7.522692E9,EUR,4.20246E8,EUR
2851159,2851159,AAB,null,null,FAIR,null,1.0887333136E10,EUR,3.9859937E8,EUR
2851160,2851160,AAB,null,null,FAIR,null,2.938218444E11,EUR,6.67849896E9,EUR
2854438,2854438,AAB,null,null,FAIR,null,1.90183E11,EUR,2.632E9,EUR
2851161,2851161,AAB,null,null,FAIR,null,3.246310872E9,EUR,3.48200532E8,EUR
2852571,2852571,AAB,null,null,FAIR,null,4.8796334558E11,EUR,1.00432317E10,EUR
2852572,2852572,AAB,null,null,FAIR,null,1.1401180939401E11,EUR,3.30327776332E9,EUR
2852573,2852573,AAB,null,null,FAIR,null,1.3195324E10,EUR,1.67042E8,EUR
2844907,2844907,AAB,null,null,FAIR,null,1.9877707174E10,EUR,6.7578692E8,EUR
2853796,2853796,AAB,null,null,FAIR,null,2.0517744274E11,EUR,1.23279218E9,EUR
2853798,2853798,AAB,null,null,FAIR,null,6.408789506E10,EUR,1.10593798E9,EUR
2854440,2854440,AAB,null,null,FAIR,null,3.1800149316E11,EUR,5.59128388E9,EUR
2853257,2853257,AAB,null,null,FAIR,null,7.3584528E10,EUR,2.624212E9,EUR
2857856,2857856,AAB,null,null,FAIR,null,2.911765178E9,EUR,5.2356188E7,EUR
2853258,2853258,AAB,null,null,FAIR,null,9.2034748E10,EUR,2.72358E9,EUR
2854860,2854860,AAB,null,null,FAIR,null,3.9918827568E11,EUR,9.83580182E9,EUR
2853799,2853799,AAB,null,null,FAIR,null,3.594331264E11,EUR,9.63120396E9,EUR
2852574,2852574,AAB,null,null,FAIR,null,3.4961136808E10,EUR,1.354959528E9,EUR
2854441,2854441,AAB,null,null,FAIR,null,5.0849227939E11,EUR,1.394492327E10,EUR
2854442,2854442,AAB,null,null,FAIR,null,5.420662632E10,EUR,1.76986656E9,EUR
2854443,2854443,AAB,null,null,FAIR,null,2.02636877628E11,EUR,5.112246424E9,EUR
2854444,2854444,AAB,null,null,FAIR,null,1.238743914E11,EUR,3.01843144E9,EUR
2854445,2854445,AAB,null,null,FAIR,null,7.320975735E10,EUR,3.7061199E9,EUR
2853259,2853259,AAB,null,null,FAIR,null,4.72248822E10,EUR,2.2563E9,EUR
2853260,2853260,AAB,null,null,FAIR,null,1.1790042E11,EUR,9.987408E9,EUR
2854446,2854446,AAB,null,null,FAIR,null,1.30453164E11,EUR,7.321602E9,EUR
2854447,2854447,AAB,null,null,FAIR,null,8.448642E10,EUR,5.995764E9,EUR
2853800,2853800,AAB,null,null,FAIR,null,6.519984E10,EUR,3.463068E9,EUR
2853261,2853261,AAB,null,null,FAIR,null,1.128717006E11,EUR,5.0764329E9,EUR
2853262,2853262,AAB,null,null,FAIR,null,1.189566534E11,EUR,4.3905424E9,EUR
2853801,2853801,AAB,null,null,FAIR,null,1.312331E12,EUR,2.8879E10,EUR
2877837,2877837,AAB,null,null,FAIR,null,1.727075433616E10,EUR,7.5679155864E8,EUR
2853802,2853802,AAB,null,null,FAIR,null,6.44589E11,EUR,8.242E9,EUR
2853803,2853803,AAB,null,null,FAIR,null,7.74631E10,EUR,7.188E8,EUR
2853804,2853804,AAB,null,null,FAIR,null,2.5661934E10,EUR,3.58011E8,EUR
2868377,2868377,AAB,null,null,FAIR,null,9.09069E8,EUR,1.55373E8,EUR
2854448,2854448,AAB,null,null,FAIR,null,3.7672E9,EUR,1.945E8,EUR
2854449,2854449,AAB,null,null,FAIR,null,3.047329E9,EUR,2.04355E8,EUR
2854450,2854450,AAB,null,null,FAIR,null,6.6622E9,EUR,5.192E8,EUR
2854451,2854451,AAB,null,null,FAIR,null,1.17755E10,EUR,4.312E8,EUR
2853265,2853265,AAB,null,null,FAIR,null,4.6476067E10,EUR,1.94999E8,EUR
2853805,2853805,AAB,null,null,FAIR,null,1.42492E10,EUR,3.231E8,EUR
2853806,2853806,AAB,null,null,FAIR,null,2.11011E10,EUR,1.991E8,EUR
2854454,2854454,AAB,null,null,FAIR,null,2.58786E10,EUR,6.376E8,EUR
2853807,2853807,AAB,null,null,FAIR,null,3.1541E10,EUR,8.89E8,EUR
2853808,2853808,AAB,null,null,FAIR,null,5.0883E10,EUR,6.03E8,EUR
2853809,2853809,AAB,null,null,FAIR,null,5.07275E10,EUR,1.182E9,EUR
2853811,2853811,AAB,null,null,FAIR,null,5.83517E10,EUR,1.2932E9,EUR
2853812,2853812,AAB,null,null,FAIR,null,8.48E10,EUR,2.5371E9,EUR
2853813,2853813,AAB,null,null,FAIR,null,1.11981E11,EUR,1.525E9,EUR
2853814,2853814,AAB,null,null,FAIR,null,2.02072E11,EUR,2.864E9,EUR
2853815,2853815,AAB,null,null,FAIR,null,2.73364E11,EUR,3.447E9,EUR
2853816,2853816,AAB,null,null,FAIR,null,3.54569E10,EUR,5.23E8,EUR
2853817,2853817,AAB,null,null,FAIR,null,3.33305E11,EUR,4.035E9,EUR
2854455,2854455,AAB,null,null,FAIR,null,5.17166E11,EUR,1.0337E10,EUR
2854456,2854456,AAB,null,null,FAIR,null,5.2239562075E10,EUR,2.554411835E9,EUR
2853819,2853819,AAB,null,null,FAIR,null,3.50856245E10,EUR,1.69697546E9,EUR
2854457,2854457,AAB,null,null,FAIR,null,4.52934E10,EUR,1.4796E9,EUR
2854861,2854861,AAB,null,null,FAIR,null,4.8796334558E11,EUR,1.00432317E10,EUR
2862826,2862826,AAB,null,null,FAIR,null,2.1887718864E10,EUR,1.0662267E9,EUR
2862827,2862827,AAB,null,null,FAIR,null,7.27937318E10,EUR,1.94720459E9,EUR
2862828,2862828,AAB,null,null,FAIR,null,1.98241E11,EUR,9.006E9,EUR
2862829,2862829,AAB,null,null,FAIR,null,5.4596E10,EUR,1.4901E9,EUR
2862833,2862833,AAB,null,null,FAIR,null,1.71141E10,EUR,5.084E8,EUR
2862834,2862834,AAB,null,null,FAIR,null,1.156766355E10,EUR,6.2067888E8,EUR
2862835,2862835,AAB,null,null,FAIR,null,2.99524775E10,EUR,8.3008549E8,EUR
2862836,2862836,AAB,null,null,FAIR,null,2.22311E10,EUR,6.131E8,EUR
2862837,2862837,AAB,null,null,FAIR,null,1.4232000024E10,EUR,7.75344372E8,EUR
2862838,2862838,AAB,null,null,FAIR,null,7.001E9,EUR,2.8E8,EUR
2862839,2862839,AAB,null,null,FAIR,null,5.661251816E9,EUR,3.62486615E8,EUR
2854862,2854862,AAB,null,null,FAIR,null,7.036214845E10,EUR,3.5047242E9,EUR
2854863,2854863,AAB,null,null,FAIR,null,1.154239074E11,EUR,5.5728521E9,EUR
2853825,2853825,AAB,null,null,FAIR,null,3.070841884E10,EUR,8.45744456E8,EUR
2854864,2854864,AAB,null,null,FAIR,null,1.6800957888E10,EUR,4.01999136E8,EUR
2853266,2853266,AAB,null,null,FAIR,null,1.57035372888E12,EUR,6.956602764E10,EUR
2853826,2853826,AAB,null,null,FAIR,null,3.50856245E10,EUR,1.69697546E9,EUR
2853269,2853269,AAB,null,null,FAIR,null,3.07605205852E12,EUR,1.3337158012E11,EUR
2853271,2853271,AAB,null,null,FAIR,null,3.0127792458E11,EUR,1.192141116E10,EUR
2867864,2867864,AAB,null,null,FAIR,null,4.79393784644E9,EUR,1.6741640706E8,EUR
2854460,2854460,AAB,null,null,FAIR,null,1.500368184E12,EUR,1.3068648E10,EUR
2854461,2854461,AAB,null,null,FAIR,null,1.500368184E12,EUR,1.3068648E10,EUR
2854462,2854462,AAB,null,null,FAIR,null,7.57367E11,EUR,7.318E9,EUR
2854463,2854463,AAB,null,null,FAIR,null,5.17166E11,EUR,1.0337E10,EUR
2854467,2854467,AAB,null,null,FAIR,null,5.0849227939E11,EUR,1.394492327E10,EUR
2862001,2862001,AAB,null,null,FAIR,null,1.2327191338E10,EUR,3.92320328E8,EUR
2881653,2881653,AAB,null,null,FAIR,null,3.12334E11,EUR,8.242E9,EUR
2881654,2881654,AAB,null,null,FAIR,null,1.463288148E10,EUR,8.1331254E8,EUR
2881655,2881655,AAB,null,null,FAIR,null,7.567710568E10,EUR,1.67247994E9,EUR
2881656,2881656,AAB,null,null,FAIR,null,1.69751E10,EUR,4.282E8,EUR
2859105,2859105,AAB,null,null,FAIR,null,1.33240064992E12,EUR,3.244223033E10,EUR
2881657,2881657,AAB,null,null,FAIR,null,5.38415E10,EUR,8.29E8,EUR
2881658,2881658,AAB,null,null,FAIR,null,8.5002E9,EUR,2.346E8,EUR
2881660,2881660,AAB,null,null,FAIR,null,1.615673E11,EUR,6.562E9,EUR
2881661,2881661,AAB,null,null,FAIR,null,4.5862E9,EUR,1.277E8,EUR
2881662,2881662,AAB,null,null,FAIR,null,5.61844E10,EUR,1.136E9,EUR
2863098,2863098,AAB,null,null,FAIR,null,2.591499E12,EUR,4.6467E10,EUR
