RatingID;ParentRatingID;LBRatingID;AnnualTurnover;AnnualTurnoverDirect;AnnualTurnoverParent;AnnualTurnoverLBR;TotalAssets;TotalAssetsDirect;TotalAssetsParent;TotalAssetsLBR
2900900;2900706;null;977.981.360.839.667;26882000;977.981.360.839.667;null;923.203.944.987.333;128797000;923.203.944.987.333;null
2735071;null;null;730000;730000;null;null;1239000;1239000;null;null
2748403;null;null;2250000;2250000;null;null;3829000;3829000;null;null
2755460;null;null;71384000;71384000;null;null;28878000;28878000;null;null
2804496;null;null;978000;978000;null;null;1979000;1979000;null;null
2830055;null;null;3918000;3918000;null;null;3092000;3092000;null;null
2843280;null;null;7816000;7816000;null;null;5475000;5475000;null;null
2847717;null;null;2261000;2261000;null;null;3719000;3719000;null;null
2851009;null;null;190829000;190829000;null;null;1429483000;1429483000;null;null
2852411;null;null;78204000;78204000;null;null;31334000;31334000;null;null
2867336;null;null;5516000;5516000;null;null;3398000;3398000;null;null
2880312;null;null;1457449000;1457449000;null;null;702446000;702446000;null;null
2893061;null;null;null;null;null;null;144789000;144789000;null;null
2893315;null;null;25704000;25704000;null;null;2806000;2806000;null;null
2895316;null;null;198289000;198289000;null;null;400799000;400799000;null;null
2898882;null;null;433000;433000;null;null;22295000;22295000;null;null
2915851;null;null;66.406.520.822.598;66.406.520.822.598;null;null;587.802.824.360.106;587.802.824.360.106;null;null
2933758;null;null;211.926.253.120.799;211.926.253.120.799;null;null;222.354.522.757.826;222.354.522.757.826;null;null
2937632;null;null;956000;956000;null;null;43707000;43707000;null;null
2938309;null;null;1644000;1644000;null;null;3895000;3895000;null;null
2945605;null;null;279830000;279830000;null;null;65327000;65327000;null;null
2946799;null;null;119146000;119146000;null;null;651932000;651932000;null;null
2925101;null;null;63608000;63608000;null;null;40157000;40157000;null;null
2746371;null;null;796000;796000;null;null;2684000;2684000;null;null
2767587;null;null;42963000;42963000;null;null;16474000;16474000;null;null
2774998;null;null;260904000;260904000;null;null;55839000;55839000;null;null
2793376;null;null;7247000;7247000;null;null;15394000;15394000;null;null
2816086;null;null;1907000;1907000;null;null;9545000;9545000;null;null
2817119;null;null;25358000;25358000;null;null;5640000;5640000;null;null
2821760;null;null;5471000;5471000;null;null;4275000;4275000;null;null
2826615;null;null;43000;43000;null;null;1384000;1384000;null;null
2837784;null;null;4830000;4830000;null;null;3005000;3005000;null;null
2846013;null;null;25058000;25058000;null;null;8564000;8564000;null;null
2856497;null;null;50514000;50514000;null;null;44753000;44753000;null;null
2856611;null;null;96405000;96405000;null;null;146118000;146118000;null;null
2857636;null;null;27152000;27152000;null;null;13506000;13506000;null;null
2862555;null;null;3507000;3507000;null;null;7036000;7036000;null;null
2865968;null;null;9643000;9643000;null;null;5974000;5974000;null;null
2866589;null;null;315426000;315426000;null;null;91443000;91443000;null;null
2866987;null;null;148224000;148224000;null;null;303362000;303362000;null;null
2872372;null;null;7776000;7776000;null;null;75749000;75749000;null;null
2877546;null;null;3319000;3319000;null;null;2126000;2126000;null;null
2886690;null;null;15328000;15328000;null;null;13685000;13685000;null;null
2890576;null;null;40127000;40127000;null;null;29977000;29977000;null;null
2892534;null;null;3193000;3193000;null;null;25605000;25605000;null;null
