2025-07-11 14:42:17 [INFO] validate:  YAML format validated successfully
2025-07-11 14:42:22 [INFO] validate:  Sources validated successfully
2025-07-11 14:42:23 [INFO] validate_join:  Joins validated successfully
2025-07-11 14:42:23 [INFO] validate_add_variables:  Variables validated successfully
2025-07-11 14:42:23 [INFO] validate_filter_conditions:  Filter conditions validated successfully
2025-07-11 14:42:23 [INFO] validate_filter:  Filter conditions validated successfully
2025-07-11 14:42:24 [INFO] validate_join:  Joins validated successfully
2025-07-11 14:42:24 [INFO] validate_join:  Joins validated successfully
2025-07-11 14:42:24 [INFO] validate_join:  Joins validated successfully
2025-07-11 14:42:24 [INFO] validate_join:  Joins validated successfully
2025-07-11 14:42:25 [INFO] validate_join:  Joins validated successfully
2025-07-11 14:42:26 [ERROR] validate_sql_expressions:  Problem with expression(s):
2025-07-11 14:42:26 [ERROR] validate_sql_expressions:  MDM_1094.sovereign_local_currency_ucr = MDM_1010.Rating_Grade_Code: [UNRESOLVED_COLUMN.WITH_SUGGESTION] A column, variable, or function parameter with name `MDM_1010`.`Rating_Grade_Code` cannot be resolved. Did you mean one of the following? [`MDM_1010`.`rating_grade_name`, `MDM_1010`.`rating_scale_code`, `MDM_1010`.`approved_pd`, `MDM_1094`.`pd_model_code`, `MDM_1094`.`approval_date`]. SQLSTATE: 42703
2025-07-11 14:42:27 [INFO] validate_add_variables:  Variables validated successfully
