 "CreditFacility","cf","AACF","5F", ""
"CreditFacilityHasForbearanceMeasure","cffbm","AACF","5F", ""
"CollateralSecuresCreditFacility","cfxcol","AACF","5F", ""
"Collateral","col","AACF","5F", ""
"CollateralIsAllocatedToFinancingProduct","colxfp","AACF","5F", ""
"Counterparty","cp","AACF","5F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","AACF","5F", ""
"CollateralHasCollateralProvider","cpxcol","AACF","5F", ""
"FinancingProduct","fp","AACF","5F", ""
"FinancingProductHasForbearanceMeasure","fpfbm","AACF","5F", ""
"Product","pr","AACF","5F", ""
"ProductPart","prp","AACF","5F", ""
"CreditFacility","cf","ALFAM","5F", ""
"CreditFacilityHasForbearanceMeasure","cffbm","ALFAM","5F", ""
"CollateralSecuresCreditFacility","cfxcol","ALFAM","5F", ""
"Collateral","col","ALFAM","5F", ""
"CollateralIsAllocatedToFinancingProduct","colxfp","ALFAM","5F", ""
"Counterparty","cp","ALFAM","5F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","ALFAM","5F", ""
"CollateralHasCollateralProvider","cpxcol","ALFAM","5F", ""
"FinancingProduct","fp","ALFAM","5F", ""
"FinancingProductHasForbearanceMeasure","fpfbm","ALFAM","5F", ""
"Product","pr","ALFAM","5F", ""
"ProductPart","prp","ALFAM","5F", ""
"CurrentAccount","ca","EntraCard","5F", ""
"CreditFacility","cf","EntraCard","5F", ""
"Counterparty","cp","EntraCard","5F", ""
"CurrentAccountIsForParticipatingCounterparty","cpxca","EntraCard","5F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","EntraCard","5F", ""
"CollateralHasCollateralProvider","cpxcol","EntraCard","5F", ""
"FinancingProduct","fp","EntraCard","5F", ""
"Product","pr","EntraCard","5F", ""
"ProductPart","prp","EntraCard","5F", ""
"CurrentAccount","ca","FBS","2F", ""
"CreditFacility","cf","FBS","2F", ""
"CreditFacilityHasForbearanceMeasure","cffbm","FBS","2F", ""
"CollateralSecuresCreditFacility","cfxcol","FBS","2F", ""
"GuaranteeSecuresCreditFacility","cfxgua","FBS","2F", ""
"Collateral","col","FBS","2F", ""
"Counterparty","cp","FBS","2F", ""
"CurrentAccountIsForParticipatingCounterparty","cpxca","FBS","2F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","FBS","2F", ""
"CollateralHasCollateralProvider","cpxcol","FBS","2F", ""
"FinancingProduct","fp","FBS","2F", ""
"FinancingProductHasForbearanceMeasure","fpfbm","FBS","2F", ""
"GuaranteeSecuresFinancingProduct","fpxgua","FBS","2F", ""
"GlobalMasterAgreement","gma","FBS","2F", ""
"Guarantee","gua","FBS","2F", ""
"GuaranteeHasGuarantor","guahcp","FBS","2F", ""
"Product","pr","FBS","2F", ""
"ProductPart","prp","FBS","2F", ""
"SecuritiesFinancingTrade","sft","FBS","2F", ""
"SecuritiesFinancingTradeLeg","sftl","FBS","2F", ""
"CurrentAccount","ca","IHUB-BE1","1F", ""
"CollateralSecuresCurrentAccount","caxcol","IHUB-BE1","1F", ""
"CreditFacility","cf","IHUB-BE1","1F", ""
"CreditFacilityHasForbearanceMeasure","cffbm","IHUB-BE1","1F", ""
"CollateralSecuresCreditFacility","cfxcol","IHUB-BE1","1F", ""
"Collateral","col","IHUB-BE1","1F", ""
"CollateralIsAllocatedToFinancingProduct","colxfp","IHUB-BE1","1F", ""
"Counterparty","cp","IHUB-BE1","1F", ""
"CurrentAccountIsForParticipatingCounterparty","cpxca","IHUB-BE1","1F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","IHUB-BE1","1F", ""
"CollateralHasCollateralProvider","cpxcol","IHUB-BE1","1F", ""
"FinancingProduct","fp","IHUB-BE1","1F", ""
"Product","pr","IHUB-BE1","1F", ""
"ProductPart","prp","IHUB-BE1","1F", ""
"CurrentAccount","ca","IHUB-DE2","1F", ""
"CollateralSecuresCurrentAccount","caxcol","IHUB-DE2","1F", ""
"CreditFacility","cf","IHUB-DE2","1F", ""
"CollateralSecuresCreditFacility","cfxcol","IHUB-DE2","1F", ""
"GuaranteeSecuresCreditFacility","cfxgua","IHUB-DE2","1F", ""
"Collateral","col","IHUB-DE2","1F", ""
"CollateralIsAllocatedToFinancingProduct","colxfp","IHUB-DE2","1F", ""
"Counterparty","cp","IHUB-DE2","1F", ""
"CurrentAccountIsForParticipatingCounterparty","cpxca","IHUB-DE2","1F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","IHUB-DE2","1F", ""
"FinancingProduct","fp","IHUB-DE2","1F", ""
"GuaranteeSecuresFinancingProduct","fpxgua","IHUB-DE2","1F", ""
"Guarantee","gua","IHUB-DE2","1F", ""
"GuaranteeHasGuarantor","guahcp","IHUB-DE2","1F", ""
"GuaranteeSecuresCurrentAccount","guaxca","IHUB-DE2","1F", ""
"Product","pr","IHUB-DE2","1F", ""
"ProductPart","prp","IHUB-DE2","1F", ""
"CurrentAccount","ca","IHUB-FR1","1F", ""
"CreditFacility","cf","IHUB-FR1","1F", ""
"CreditFacilityHasForbearanceMeasure","cffbm","IHUB-FR1","1F", ""
"CollateralSecuresCreditFacility","cfxcol","IHUB-FR1","1F", ""
"Collateral","col","IHUB-FR1","1F", ""
"Counterparty","cp","IHUB-FR1","1F", ""
"CurrentAccountIsForParticipatingCounterparty","cpxca","IHUB-FR1","1F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","IHUB-FR1","1F", ""
"CollateralHasCollateralProvider","cpxcol","IHUB-FR1","1F", ""
"DepositProductIsForParticipatingCounterparty","cpxdp","IHUB-FR1","1F", ""
"GuaranteeSecuresCounterparty","cpxgua","IHUB-FR1","1F", ""
"DepositProduct","dp","IHUB-FR1","1F", ""
"FinancialMarketInstrument","fmi","IHUB-FR1","1F", ""
"FinancingProduct","fp","IHUB-FR1","1F", ""
"Guarantee","gua","IHUB-FR1","1F", ""
"GuaranteeHasGuarantor","guahcp","IHUB-FR1","1F", ""
"Product","pr","IHUB-FR1","1F", ""
"ProductPart","prp","IHUB-FR1","1F", ""
"CreditFacility","cf","LEASE","5F", ""
"CreditFacilityHasForbearanceMeasure","cffbm","LEASE","5F", ""
"CollateralSecuresCreditFacility","cfxcol","LEASE","5F", ""
"Collateral","col","LEASE","5F", ""
"CollateralIsAllocatedToFinancingProduct","colxfp","LEASE","5F", ""
"Counterparty","cp","LEASE","5F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","LEASE","5F", ""
"CollateralHasCollateralProvider","cpxcol","LEASE","5F", ""
"FinancingProduct","fp","LEASE","5F", ""
"FinancingProductHasForbearanceMeasure","fpfbm","LEASE","5F", ""
"Product","pr","LEASE","5F", ""
"ProductPart","prp","LEASE","5F", ""
"CreditFacility","cf","VIENNA","5F", ""
"CreditFacilityHasForbearanceMeasure","cffbm","VIENNA","5F", ""
"CollateralSecuresCreditFacility","cfxcol","VIENNA","5F", ""
"GuaranteeSecuresCreditFacility","cfxgua","VIENNA","5F", ""
"Collateral","col","VIENNA","5F", ""
"Counterparty","cp","VIENNA","5F", ""
"CreditFacilityIsForParticipatingCounterparty","cpxcf","VIENNA","5F", ""
"DepositProduct","dp","VIENNA","5F", ""
"FinancingProduct","fp","VIENNA","5F", ""
"FinancingProductHasForbearanceMeasure","fpfbm","VIENNA","5F", ""
"GuaranteeSecuresFinancingProduct","fpxgua","VIENNA","5F", ""
"Guarantee","gua","VIENNA","5F", ""
"GuaranteeHasGuarantor","guahcp","VIENNA","5F", ""
"Product","pr","VIENNA","5F", ""
"ProductPart","prp","VIENNA","5F", ""
