DeliveryEntity,ReportingDate,AccruedFeesAmountDebitCreditIndicator,AccruedFeesAmountReportingAmount,AccruedFeesAmountReportingCurrency,AccruedFeesAmountTransactionAmount,AccruedFeesAmountTransactionCurrency,AlternativeLocalReferenceIdentifier,ApprovedLossGivenDefaultRatingDate,ArrangementParticipationType,BaselIIProductType,BookType,BorrowingBaseReportingAmount,BorrowingBaseReportingCurrency,BorrowingBaseTransactionAmount,BorrowingBaseTransactionCurrency,BusinessSegment,ContractStatus,ContractStatusDate,CreditAgreement,CreditAssessmentForDrawDownUnderUnadvisedCreditLimitIndicator,CreditConversionFactor,CreditLimitReportingAmount,CreditLimitReportingCurrency,CreditLimitTransactionAmount,CreditLimitTransactionCurrency,CreditProductProgramSegment,Default,DefaultDate,DefaultEndDate,DownturnLossGivenDefault,EADAmountBeforeApplicationOfConservatismReportingAmount,EADAmountBeforeApplicationOfConservatismReportingCurrency,EADAmountBeforeApplicationOfConservatismTransactionAmount,EADAmountBeforeApplicationOfConservatismTransactionCurrency,EADModelCode,ELBEPercentageBeforeApplicationOfConservatism,ExemptionFromAdvancedInternalRatingBasedApproach,ExposureAtDefaultReportingAmount,ExposureAtDefaultReportingCurrency,FacilityType,Forborne,ForborneDate,GlobalFacilityIdentifier,HighQualityIndicator,Ifrs9RiskStage,IncomeProducingRealEstateFinance,InfrastructuralSupportingFactor,InsuredFlag,LandAcquisitionDevelopmentAndConstructionExposureFinance,LGDMarginOfConservatism,LGDModelCode,LGDPercentageBeforeConservatism,LGDType,LoanLossAllowanceRcoa,LoanLossAllowanceReportingAmount,LoanLossAllowanceReportingCurrency,LoanLossAllowanceTransactionAmount,LoanLossAllowanceTransactionCurrency,LocalFacilityIdentifier,LocalReferenceIdentifier,LossGivenDefaultClass,MaturityDate,NonperformingEndDate,NonperformingStartDate,ParentCreditFacility,ParentCreditFacilitySourceSystemIdentifier,PDMarginOfConservatism,PDModelCode,PDPercentageBeforeConservatism,PensionerFlag,PerformingIndicator,PlNplIndicator,ProbabilityOfDefault,ProductProgram,ProjectFinancePhaseIndicator,ReportingEntity,Revolving,RiskWeightedExposureApproach,SourceSystemIdentifier,SpecialisedLendingType,ThroughTheCycleLossGivenDefault,TradeDate,TypeOfCommitment,UnadvisedCreditLimitReportingAmount,UnadvisedCreditLimitReportingCurrency,UnadvisedCreditLimitTransactionAmount,UnadvisedCreditLimitTransactionCurrency,UndrawnRcoa,UndrawnReportingAmount,UndrawnReportingCurrency,UndrawnTransactionAmount,UndrawnTransactionCurrency
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131119,0010131/N/00101310124,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2022-11-17,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N001013112,0010131/N/00101310017,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2011-08-31,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131120,0010131/N/00101310125,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2022-11-17,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131121,0010131/N/00101310126,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2022-11-17,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131122,0010131/N/00101310127,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2022-11-17,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131123,0010131/N/00101310128,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2023-03-08,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131124,0010131/N/00101310129,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2023-03-08,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131125,0010131/N/00101310130,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2023-07-04,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131126,0010131/N/00101310131,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2023-09-15,Y,null,null,null,null,null,0,EUR,0,EUR
IHUB-FR1,2024-12-31,D,null,null,null,null,null,null,null,null,BB,null,null,null,null,1161,ACTIVE,null,N,null,null,0,EUR,0,EUR,null,null,null,null,0,null,null,null,null,null,null,null,0,EUR,CF,null,null,null,N,IFRSSTG1,null,N,null,null,null,null,null,null,null,0,EUR,0,EUR,1N0010131127,0010131/N/00101310132,null,null,null,null,1N00101312,AAB.SYS.2180,null,null,null,null,null,NPL,null,null,null,810219,N,AIRB,AAB.SYS.2180,null,null,2023-09-15,Y,null,null,null,null,null,0,EUR,0,EUR
